Position,Changes,Cluster
1,2,1
2,1,1
17,5,2
2,1,1
1,2,1
7,4,0
2,1,1
8,4,0
7,8,0
2,1,1
1,2,1
1,2,1
1,0,3
2,1,1
3,6,0
2,1,1
2,1,1
7,3,0
1,0,3
3,2,1
2,1,1
2,1,1
3,2,1
3,4,1
1,0,3
2,1,1
6,3,0
2,1,1
1,2,1
5,4,0
2,1,1
2,1,1
4,2,1
1,0,3
1,0,3
6,3,0
1,0,3
1,0,3
3,4,1
2,1,1
1,2,1
1,0,3
2,1,1
1,0,3
3,1,1
7,5,0
2,1,1
1,0,3
7,3,0
4,2,1
4,2,1
1,0,3
2,1,1
1,0,3
2,1,1
1,0,3
1,0,3
1,0,3
1,0,3
1,0,3
1,0,3
1,0,3
2,1,1
1,0,3
2,1,1
2,1,1
1,0,3
2,1,1
2,1,1
2,1,1
1,0,3
1,0,3
1,0,3
1,0,3
1,0,3
2,1,1
1,0,3
1,0,3
1,0,3
1,0,3
1,0,3
1,0,3
1,0,3
1,0,3
1,0,3
2,1,1
1,0,3
1,0,3
1,0,3
2,1,1
1,0,3
2,1,1
1,0,3
2,1,1
1,2,1
1,0,3
2,1,1
2,1,1
2,1,1
2,1,1
1,0,3
2,2,1
2,1,1
1,0,3
1,0,3
1,2,1
2,1,1
13,2,2
1,0,3
2,1,1
6,5,0
2,3,1
2,1,1
11,6,2
1,0,3
1,0,3
9,5,0
1,0,3
2,1,1
2,1,1
12,3,2
5,6,0
2,1,1
2,1,1
8,3,0
1,0,3
2,1,1
3,2,1
1,0,3
1,0,3
5,7,0
