Position,Changes,Cluster
2,2,1
1,1,1
11,6,3
1,1,1
2,2,1
12,5,3
1,1,1
5,7,0
5,5,0
1,1,1
2,2,1
5,3,2
2,0,1
1,1,1
2,2,1
1,1,1
1,1,1
5,2,2
2,0,1
5,4,2
1,1,1
1,1,1
1,5,0
2,0,1
1,3,1
2,0,1
1,5,0
1,1,1
2,2,1
2,5,0
1,1,1
1,1,1
1,1,1
2,0,1
2,0,1
2,6,0
2,0,1
2,0,1
2,6,0
1,1,1
2,2,1
3,1,1
1,1,1
2,0,1
6,4,2
4,6,0
1,1,1
4,3,2
2,2,1
7,3,2
1,1,1
2,0,1
1,1,1
2,0,1
7,1,2
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
5,1,2
2,0,1
1,1,1
1,1,1
2,0,1
1,1,1
1,1,1
1,1,1
2,0,1
7,1,2
2,0,1
2,0,1
6,1,2
2,0,1
3,2,1
2,0,1
2,0,1
2,0,1
2,0,1
2,0,1
3,1,1
2,0,1
1,1,1
3,1,1
2,0,1
2,0,1
1,1,1
2,0,1
1,1,1
2,0,1
1,1,1
2,2,1
2,2,1
1,1,1
1,1,1
1,1,1
1,1,1
2,0,1
1,1,1
1,1,1
2,0,1
4,1,2
