lap,CZE,CUB,CHN,NED,THA,USA,POL,ESP,RUS,NZL,LTU,UKR,GER
1,6,10,11,13,4,5,12,2,7,1,9,8,3
2,6,11,10,13,5,8,12,3,4,1,9,7,2
3,5,11,10,13,7,8,12,4,3,1,9,6,2
4,5,11,10,13,7,9,12,4,2,1,8,6,3
5,5,11,10,13,8,9,12,4,2,1,7,6,3
6,5,10,11,13,9,8,12,4,2,1,7,6,3
7,6,10,11,13,9,8,12,4,2,1,5,7,3
8,6,10,11,13,9,8,12,4,2,1,5,7,3
9,7,10,11,13,9,8,12,5,2,1,4,6,3
10,7,10,11,13,8,9,12,5,2,1,4,6,3
11,7,10,11,13,8,9,12,5,2,1,4,6,3
12,8,9,11,13,7,10,12,5,1,2,4,6,3
13,9,8,11,13,7,10,12,5,1,2,3,6,4
14,9,8,11,13,7,10,12,5,1,2,3,6,4
15,9,8,11,13,7,10,12,5,1,2,3,6,4
16,10,8,11,13,6,9,12,5,1,2,3,7,4
17,10,8,11,13,6,9,12,5,1,2,3,7,4
18,11,8,10,13,6,9,12,5,1,2,3,7,4
19,11,7,10,13,6,9,12,5,1,2,3,8,4
20,11,7,9,13,6,10,12,5,1,2,3,8,4
21,11,7,9,13,6,10,12,5,1,2,3,8,4
22,11,7,9,13,6,10,12,5,1,2,3,8,4
23,11,6,9,13,7,10,12,4,1,2,3,8,5
24,11,7,9,13,6,10,12,4,1,2,3,8,5
