lap,IRL,UKR,BEL,FRA,COL,HKG,SUI,CZE,GER,GRE,LOK,JPN,LTU,ARG
1,9,12,14,2,4,10,7,11,3,1,13,6,5,8
2,12,10,14,5,3,11,7,9,1,2,13,6,4,8
3,12,11,13,5,2,14,10,8,1,4,9,6,3,7
4,11,8,13,9,1,14,12,6,2,3,5,10,4,7
5,9,7,13,10,1,14,11,6,2,3,5,12,4,8
6,9,7,11,10,1,14,12,6,2,4,5,13,3,8
7,9,7,11,10,1,14,12,6,2,4,5,13,3,8
8,9,7,11,10,1,14,12,6,2,4,5,13,3,8
9,9,7,11,10,1,14,12,6,2,5,3,13,4,8
10,9,6,11,10,1,14,12,7,3,5,2,13,4,8
11,9,6,11,10,1,14,12,7,4,5,2,13,3,8
12,9,6,11,10,1,14,12,7,5,4,2,13,3,8
13,10,5,11,9,1,14,12,7,6,4,2,13,3,8
14,10,5,11,9,1,14,12,7,6,3,2,13,4,8
15,10,5,11,9,1,14,12,7,6,3,2,13,4,8
16,10,4,11,9,2,14,12,7,6,3,1,13,5,8
17,10,4,11,9,2,14,12,6,8,3,1,13,5,7
18,10,3,11,9,2,14,12,6,8,4,1,13,5,7
19,10,3,11,9,2,14,12,6,8,4,1,13,5,7
20,10,3,11,9,2,14,12,6,8,4,1,13,5,7
21,10,3,11,8,2,14,12,6,9,4,1,13,5,7
22,10,3,11,8,2,13,12,6,9,4,1,14,5,7
23,10,2,11,8,3,13,12,6,9,4,1,14,5,7
24,10,1,11,8,3,13,12,6,9,5,2,14,4,7
25,10,1,11,8,2,13,12,6,9,5,3,14,4,7
26,10,1,11,7,2,13,11,6,9,5,3,14,4,8
27,9,1,12,7,2,13,11,6,10,5,3,14,4,8
28,9,1,12,7,2,13,11,6,10,5,3,14,4,8
29,9,1,12,7,2,13,10,6,11,5,3,14,4,8
30,10,1,12,7,2,13,9,6,11,5,3,14,4,8
31,10,1,12,7,2,13,9,6,11,5,3,14,4,8
32,10,1,12,7,2,13,8,6,11,5,3,14,4,9
