lap,BLR,BEL,CAN,CUB,CZE,ESP,FRA,EUS,GER,GRE,HPM,ITA,NED,POL,USA,THA
1,1,6,2,12,5,14,10,15,3,13,9,4,11,8,7,16
2,1,6,2,13,5,15,11,14,3,12,8,4,10,9,7,16
3,1,6,4,12,3,15,11,14,2,13,8,5,10,9,7,16
4,3,6,4,11,1,15,12,14,2,13,8,5,10,7,9,16
5,6,8,3,11,1,15,13,14,2,12,7,5,9,4,10,16
6,8,9,3,11,1,15,13,14,2,12,6,5,7,4,10,16
7,8,9,1,10,2,15,13,14,3,12,5,7,6,4,11,16
8,10,9,1,8,3,15,13,14,2,12,6,7,5,4,11,16
9,11,9,1,7,6,15,14,13,2,12,4,8,3,5,10,16
10,11,10,1,6,7,15,14,13,2,12,4,8,3,5,9,16
11,11,10,1,5,7,15,14,12,2,13,4,8,3,6,9,16
12,11,10,1,5,8,15,14,12,3,13,4,9,2,6,7,16
13,12,10,1,5,8,15,14,11,3,13,4,9,2,7,6,16
14,12,11,1,5,9,15,14,8,3,13,4,10,2,7,6,16
15,12,9,1,5,10,15,14,7,3,13,4,11,2,8,6,16
16,12,8,1,5,11,15,14,7,3,13,4,10,2,9,6,16
17,11,8,1,5,12,15,14,7,3,13,4,10,2,9,6,16
18,10,8,1,5,12,15,14,7,3,13,4,11,2,9,6,16
19,9,8,1,5,13,15,14,7,3,12,4,11,2,10,6,16
20,9,8,1,5,14,15,13,6,3,11,4,12,2,10,7,16
21,9,8,2,5,14,15,13,6,3,10,4,12,1,11,7,16
22,9,8,2,5,14,15,12,6,3,11,4,13,1,10,7,16
23,9,8,2,5,14,15,10,6,3,12,4,13,1,11,7,16
24,9,8,2,5,14,15,10,6,3,11,4,13,1,12,7,16
