lap,RUS,GBR,MSP,ITA,LOK,DEN,ESP,BLR,CHN,CAT,AUS,GER,BEL,FRA,IRL,LTU,NED,UKR,HKG
1,12,15,7,5,11,17,19,18,10,16,6,4,14,1,13,2,3,8,9
2,13,15,8,6,11,19,18,16,9,10,5,4,14,2,17,1,3,7,12
3,11,15,8,6,13,19,17,16,10,9,3,2,12,7,18,1,5,4,14
4,10,15,11,4,13,19,16,14,9,7,5,3,12,8,17,2,6,1,18
5,9,15,12,4,13,18,16,14,8,7,5,2,10,11,17,3,6,1,19
6,9,16,13,4,11,15,18,14,8,7,5,3,10,12,17,2,6,1,19
7,9,16,15,4,11,13,18,14,8,7,5,3,10,12,17,2,6,1,19
8,9,16,15,6,11,12,17,13,8,7,3,4,10,14,18,2,5,1,19
9,6,16,15,9,10,12,17,13,8,5,4,7,11,14,18,2,3,1,19
10,5,16,15,10,9,11,17,13,7,4,6,8,12,14,18,2,3,1,19
11,3,15,16,12,8,9,17,13,7,5,6,11,10,14,18,2,4,1,19
12,2,15,16,11,8,9,17,13,6,4,7,12,10,14,18,3,5,1,19
13,2,15,16,11,8,9,17,14,6,4,7,12,10,13,18,3,5,1,19
14,2,14,16,11,8,9,17,15,5,3,7,12,10,13,18,4,6,1,19
15,2,14,16,11,9,8,17,15,3,4,6,12,10,13,18,5,7,1,19
16,2,14,17,11,9,8,16,15,3,4,5,12,10,13,18,6,7,1,19
17,2,12,16,11,7,6,17,15,3,5,4,14,10,13,18,9,8,1,19
18,2,11,16,13,7,6,17,15,3,5,4,14,10,12,18,9,8,1,19
19,2,11,16,13,7,6,17,15,4,5,3,14,10,12,18,9,8,1,19
20,2,11,16,14,6,7,17,15,4,5,3,13,10,12,19,9,8,1,18
21,3,11,17,14,7,5,18,15,4,6,2,13,10,12,19,9,8,1,16
22,3,11,17,14,6,5,18,15,4,7,2,13,9,12,19,10,8,1,16
23,3,11,17,15,6,4,18,14,5,7,2,13,9,12,19,10,8,1,16
24,3,11,17,16,6,4,18,14,5,7,2,13,9,12,19,10,8,1,15
25,4,11,18,16,6,3,17,14,5,7,2,13,9,12,19,10,8,1,15
26,4,11,18,16,5,3,17,15,6,7,2,13,9,12,19,10,8,1,14
27,5,10,18,16,4,3,17,15,6,7,2,13,9,12,19,11,8,1,14
28,5,10,18,16,4,3,17,13,6,7,2,14,9,12,19,11,8,1,15
29,5,10,18,16,4,3,17,13,6,7,2,14,8,12,19,11,9,1,15
30,5,10,17,16,4,3,18,13,6,7,2,14,8,11,19,12,9,1,15
31,5,10,17,16,4,3,18,13,6,7,2,14,8,11,19,12,9,1,15
32,5,9,16,17,4,3,18,13,6,7,2,14,8,11,19,12,10,1,15
