lap,CUB,TPE,AUS,BLR,GER,NZL,USA,LTU,IRL,AUS,BLR,SUI,NZL,THA,LTU,NED
1,5,2,7,4,13,16,12,10,11,3,14,15,1,9,8,6
2,5,2,8,7,13,15,12,10,11,4,14,16,1,9,6,3
3,4,12,5,9,14,15,10,8,11,6,13,16,1,7,3,2
4,4,14,5,11,13,15,10,7,9,8,12,16,1,6,3,2
5,4,15,5,11,13,14,10,7,8,9,12,16,1,6,2,3
6,4,15,8,11,13,14,10,6,5,9,12,16,1,7,2,3
7,4,15,8,10,13,14,12,6,5,9,11,16,1,7,2,3
8,4,15,8,10,13,14,12,5,6,9,11,16,1,7,2,3
9,4,16,9,11,13,14,12,5,6,8,10,15,1,7,2,3
10,4,16,11,10,13,14,12,5,7,8,9,15,1,6,2,3
11,4,16,11,10,12,14,13,6,7,8,9,15,2,5,1,3
12,4,16,11,10,12,14,13,6,7,9,8,15,2,5,1,3
13,4,16,12,10,11,13,14,6,9,8,7,15,3,5,1,2
14,5,15,12,10,11,13,14,7,9,8,6,16,3,4,1,2
15,5,15,12,9,11,13,14,7,10,8,6,16,3,4,1,2
16,5,16,13,9,11,12,14,7,10,8,6,15,3,4,1,2
17,5,16,13,9,11,12,14,8,10,7,6,15,3,4,1,2
18,6,16,13,9,11,12,14,8,10,7,5,15,3,4,1,2
19,6,16,13,9,10,12,14,8,11,7,5,15,3,4,1,2
20,6,16,13,9,10,12,14,8,11,7,4,15,3,5,1,2
21,6,16,13,9,10,12,14,8,11,7,4,15,3,5,1,2
22,6,16,13,10,9,12,14,8,11,7,4,15,3,5,1,2
23,6,16,13,10,9,12,14,8,11,7,4,15,3,5,1,2
24,6,16,13,11,8,12,14,9,10,7,4,15,3,5,1,2
