lap,HBC ,AUS ,CHN ,HKG ,ITA ,IRI ,UKR ,POL ,TTA ,GER ,FRA ,BEL ,RUS ,KOR ,DEN ,SUI ,RVL ,NED ,LOK 
1,10,11,5,6,15,9,7,19,4,1,2,16,18,3,11,13,17,8,14
2,16,6,3,9,17,18,7,19,11,1,2,15,13,4,5,8,12,10,14
3,16,3,4,12,13,17,10,19,18,1,5,15,8,9,2,7,6,11,14
4,16,2,6,14,13,17,8,19,18,1,7,12,5,10,3,9,4,11,15
5,16,4,9,15,14,17,6,19,18,1,7,12,5,10,3,8,2,11,13
6,16,4,11,15,14,17,6,19,18,3,7,12,5,10,2,8,1,9,13
7,16,3,12,15,13,17,9,18,19,4,7,10,5,11,2,8,1,6,14
8,16,3,12,15,13,17,7,18,19,4,9,8,5,10,2,11,1,6,14
9,16,3,12,15,14,17,7,18,19,4,9,8,6,10,2,11,1,5,13
10,16,3,13,15,14,17,9,18,19,4,8,6,7,10,2,11,1,5,12
11,16,3,14,15,13,17,8,18,19,4,9,6,7,10,2,11,1,5,12
12,16,2,15,14,13,17,8,18,19,5,10,6,7,9,3,12,1,4,11
13,16,2,15,13,12,18,8,17,19,6,9,5,7,10,3,14,1,4,11
14,16,2,15,12,11,18,8,17,19,6,10,5,7,13,3,14,1,4,9
15,16,2,14,10,12,18,8,17,19,6,11,5,7,15,3,13,1,4,9
16,15,2,13,10,11,18,8,16,19,6,12,5,7,17,3,14,1,4,9
