lap,USA ,BRA ,CHI ,HKG ,SUI ,UKR ,GER ,FRA ,COL ,BEL ,DEN ,NED ,ESP ,RUS ,NZL ,LOK ,AUS 
1,12,17,11,2,16,13,4,1,3,15,14,9,10,7,5,6,8
2,13,17,11,9,16,15,8,1,2,14,12,10,7,3,4,5,6
3,16,17,12,11,14,15,10,3,2,13,9,8,7,1,5,4,6
4,16,17,15,10,12,14,11,7,2,13,9,8,6,1,5,4,3
5,16,17,15,10,12,14,11,8,3,13,5,9,4,1,5,7,2
6,16,17,15,10,12,14,11,9,3,13,5,8,4,2,7,6,1
7,16,17,15,11,12,13,10,8,3,14,5,9,4,2,7,6,1
8,16,17,15,11,12,13,10,8,3,14,4,9,5,2,7,6,1
9,16,17,15,12,11,13,10,8,2,14,4,9,5,3,6,7,1
10,16,17,15,13,12,11,8,9,3,14,2,10,5,4,6,7,1
11,16,17,15,12,11,14,8,9,3,13,2,10,6,4,5,7,1
12,16,17,15,13,11,14,8,9,2,12,3,10,5,6,4,7,1
13,16,17,15,12,10,14,8,9,2,11,3,13,5,7,4,6,1
14,16,17,15,12,11,14,7,9,3,10,4,13,5,8,2,6,1
15,16,17,15,11,10,12,6,8,3,9,4,13,5,14,2,7,1
16,16,17,14,10,9,12,6,11,3,8,4,13,5,15,2,7,1
