lap,RUS,POL,UKR,COL,NED,BEL,LTU,USA,CHN,JPN,CAN,AUS,KOR,SUI,BRA,CGA,GER,CZE,IRL,NZL,HKG
1,17,10,11,9,13,18,1,15,12,7,21,3,19,22,16,14,4,8,20,6,23
2,13,6,9,14,10,20,2,11,19,18,17,5,21,22,12,8,3,15,16,7,23
3,11,5,9,20,12,19,3,10,18,17,16,6,21,22,14,8,2,15,13,7,23
4,11,3,9,23,13,20,4,10,19,16,17,5,18,21,15,7,2,14,12,6,22
5,13,2,8,23,12,21,6,10,17,14,18,4,16,20,19,7,3,15,11,5,22
6,14,3,8,23,12,21,7,10,16,13,19,4,15,17,20,6,5,18,11,2,22
7,18,4,8,23,12,20,7,10,16,14,17,3,13,15,21,5,6,19,9,2,22
8,18,4,7,23,11,20,6,10,17,15,16,3,12,13,21,5,8,19,9,2,22
9,21,5,7,23,13,18,6,10,17,14,15,3,12,11,19,4,8,20,9,1,22
10,21,6,7,23,13,18,4,11,17,15,14,3,12,10,19,5,8,20,9,1,22
11,21,6,5,23,14,18,4,11,17,15,13,3,12,9,19,7,8,20,10,1,22
12,21,6,3,23,14,17,5,12,18,15,13,4,10,8,19,7,9,20,11,1,22
