lap,KAZ ,HKG ,CHI ,SUI ,UKR ,KOR ,DEN ,BEL ,GER ,NED ,ESP ,NZL ,GBR ,RUS ,AUS 
1,15,13,9,14,10,3,12,6,2,4,11,7,1,8,5
2,15,13,11,14,12,8,9,7,6,4,10,3,1,5,2
3,15,12,10,14,13,11,7,6,9,5,8,3,2,4,1
4,15,12,10,13,14,11,6,5,9,7,8,3,2,4,1
5,15,14,12,10,12,11,6,5,9,8,7,3,2,4,1
6,15,14,13,10,12,11,6,5,9,8,7,3,2,4,1
7,15,14,13,10,12,11,5,6,9,8,7,3,2,4,1
8,15,14,13,10,12,11,6,5,9,8,7,3,2,4,1
9,15,14,13,10,12,11,6,5,9,8,7,3,2,4,1
10,15,14,13,10,12,11,6,5,8,9,7,3,2,4,1
11,15,14,13,10,12,11,6,5,8,9,7,3,2,4,1
12,15,14,13,11,12,10,7,5,9,8,6,3,2,4,1
13,15,14,13,11,12,10,7,5,9,8,6,3,2,4,1
14,15,14,12,11,13,10,7,5,9,8,6,3,2,4,1
15,15,14,12,11,13,10,7,5,9,8,6,3,2,4,1
16,15,14,12,11,13,10,7,6,9,8,5,3,1,4,2
