lap,LTU,CAN,AUS,NED,JPN,USA,RUS,UKR,GER,POL,IRL,JPN,POL,AUS,HKG,GBR,NZL,GBR,NZL,CUB,NZL,LTU
1,8,12,5,18,19,13,16,6,14,11,17,21,4,7,22,10,15,2,20,3,9,1
2,10,11,2,18,20,14,15,6,13,12,16,21,8,4,22,9,17,3,19,5,7,1
3,11,10,2,18,21,12,13,4,14,15,16,20,8,3,22,5,17,6,19,9,7,1
4,15,9,1,19,21,10,12,2,16,14,13,20,8,3,22,5,17,7,18,11,6,4
5,17,8,1,19,21,10,13,3,15,14,11,20,9,2,22,4,16,7,18,12,6,5
6,18,8,1,19,21,10,12,5,15,13,11,20,9,2,22,3,16,7,17,14,4,6
7,19,5,1,18,21,10,14,7,16,12,11,20,9,4,22,3,15,6,13,17,2,8
8,19,5,2,18,21,10,16,8,15,14,9,20,11,4,22,3,13,6,12,17,1,7
9,19,5,2,17,21,10,16,8,15,14,9,20,12,4,22,3,13,6,11,18,1,7
10,20,5,2,16,21,10,17,8,15,14,9,19,13,4,22,3,12,6,11,18,1,7
11,19,5,3,13,21,10,16,8,17,15,9,20,14,4,22,2,12,6,11,18,1,7
12,21,5,4,13,20,11,14,8,17,15,9,19,16,3,22,2,12,6,10,18,1,7
