lap,IRL,NAV,UKR,NED,WAL,SUI,HKG,CZE,LOK,ITA,VEN,NZL,GBR,DEN,BLR,FRA,BEL,GER
1,6,20,14,2,11,10,18,8,7,19,17,4,5,12,13,16,3,1
2,9,20,15,5,14,8,18,11,4,19,16,6,2,3,13,17,7,1
3,8,20,14,7,16,10,18,9,4,19,15,5,2,3,13,17,6,1
4,6,20,12,10,16,13,18,8,4,19,15,5,2,3,14,17,7,1
5,5,20,12,10,16,14,18,9,4,19,15,6,1,3,13,17,8,2
6,5,20,12,10,17,14,18,9,4,19,16,6,1,2,13,15,8,3
7,4,20,12,10,17,14,16,8,3,19,18,7,1,2,13,15,9,6
8,3,20,12,11,17,13,15,8,4,19,18,6,1,2,14,16,9,7
9,3,20,12,11,17,13,14,8,4,18,19,6,2,1,15,16,9,7
10,3,20,12,11,17,13,14,8,5,18,19,6,2,1,15,16,9,7
11,3,20,12,9,17,14,13,7,5,18,19,6,4,1,16,15,11,8
12,3,20,13,9,17,14,12,7,5,18,19,6,4,1,16,15,11,8
13,3,20,14,8,17,13,12,7,5,18,19,6,4,1,16,15,11,9
14,2,20,14,8,16,13,12,7,6,18,19,5,4,1,17,15,10,11
15,2,20,14,8,18,12,13,7,6,16,19,4,5,1,17,15,10,11
16,2,20,15,8,17,11,13,7,6,16,19,4,5,1,18,14,10,12
