lap,RUS,BEL,DEN,SUI,BLR,CZE,RUS,FRA,ITA,ESP,GER,NED,GER,KAZ,UZB,CZE,NED,AUS,GBR,AUS,BEL
1,7,20,19,18,13,10,15,23,12,5,6,17,1,2,14,21,3,11,9,8,16
2,5,20,16,15,18,13,10,21,14,7,9,17,1,2,19,23,6,11,8,4,12
3,5,19,12,15,18,16,9,21,14,7,13,17,1,4,23,20,8,6,10,2,11
4,5,21,10,15,19,17,9,22,13,7,14,16,1,6,23,18,8,4,12,2,11
5,4,20,10,13,21,17,9,22,14,7,16,15,1,8,23,19,6,5,12,2,11
6,4,20,8,12,22,18,9,21,14,7,16,15,1,10,23,19,6,5,13,2,11
7,4,19,8,12,22,21,9,20,16,7,14,15,1,11,23,18,5,6,13,2,10
8,4,19,7,10,23,21,10,20,16,6,14,15,1,12,22,18,5,8,13,2,9
9,3,19,7,9,23,21,11,20,17,5,13,15,4,12,22,18,6,8,14,1,10
10,3,18,7,9,23,22,11,20,17,4,13,16,6,12,21,19,5,8,15,1,10
11,3,19,6,8,23,22,11,20,17,5,14,15,9,12,21,18,4,7,16,1,10
12,3,20,6,8,23,22,11,19,17,5,14,15,10,12,21,18,4,7,16,1,9
13,3,19,5,7,23,22,11,20,17,6,13,15,10,12,21,18,4,8,16,1,9
14,3,19,7,6,23,22,14,20,16,8,10,15,13,12,21,18,4,5,17,1,9
15,6,19,7,4,23,22,13,20,16,8,11,15,14,12,21,18,5,3,17,1,9
16,6,19,7,3,23,22,13,20,16,8,12,18,14,10,21,15,5,4,17,1,9
