Time,"Women Team Pursuit","Men Team Pursuit Start","Men Individual Pursuit","Men Individual Pursuit Start","Women Team Sprint Start","Women Team Pursuit Start","Men Team Pursuit","Men Team Sprint","Women Individual Pursuit","Women Team Sprint","Men Team Sprint Start","Men Kilo","Men Kilo Start","Women Individual Pursuit Start"
12.25,0,0,0,0,0,0,0,1,0,0,0,0,0,0
12.5,0,0,0,0,0,0,0,11,0,1,0,0,0,0
12.75,0,0,0,0,0,0,0,78,0,3,0,0,0,0
13.0,0,0,0,0,0,0,0,83,0,4,0,5,0,0
13.25,0,0,0,0,0,0,0,181,0,6,0,17,0,0
13.5,0,0,0,0,0,0,3,165,0,1,0,46,0,0
13.75,0,0,0,0,0,0,21,142,0,12,0,75,0,0
14.0,0,0,0,0,0,0,82,33,0,22,0,39,0,0
14.25,0,0,0,0,0,0,314,32,0,61,0,86,0,0
14.5,0,0,0,0,0,0,469,16,0,66,0,70,0,0
14.75,0,0,14,0,0,0,612,4,0,49,0,82,0,0
15.0,1,0,29,0,0,0,388,2,0,21,0,34,0,0
15.25,8,0,89,0,0,0,584,3,0,40,0,64,0,0
15.5,44,0,254,0,0,0,385,0,1,16,0,67,0,0
15.75,134,0,518,0,0,0,256,1,0,15,0,46,0,0
16.0,167,0,418,0,0,0,40,2,9,4,0,30,0,0
16.25,333,0,738,0,0,0,63,2,32,4,0,33,0,0
16.5,363,0,694,0,0,0,37,1,95,3,0,30,0,0
16.75,313,0,557,0,0,0,21,1,193,4,0,20,0,0
17.0,170,0,218,0,1,0,4,0,192,1,5,4,0,0
17.25,214,0,296,0,2,0,8,2,344,0,40,6,0,0
17.5,152,0,213,0,2,0,4,0,351,1,61,3,1,0
17.75,94,0,152,0,1,0,3,0,345,0,93,0,1,0
18.0,25,0,35,0,0,0,1,0,228,1,52,2,6,0
18.25,32,0,32,0,4,0,2,0,329,0,63,3,21,0
18.5,18,0,28,0,15,0,2,0,323,0,39,3,36,0
18.75,14,0,20,0,30,0,0,0,260,0,14,0,43,0
19.0,7,0,2,0,36,0,0,0,137,0,3,0,29,0
19.25,10,0,7,0,62,0,1,0,150,0,5,0,31,0
19.5,9,0,1,0,32,0,0,0,131,0,2,0,27,0
19.75,5,0,1,1,51,0,0,0,89,0,1,1,23,0
20.0,1,1,2,0,23,0,0,0,26,0,0,1,5,0
20.25,1,4,1,2,12,0,0,0,41,0,0,0,11,0
20.5,1,24,0,7,10,0,0,0,22,0,0,0,8,0
20.75,1,45,1,15,17,0,0,0,14,0,0,1,7,2
21.0,3,32,0,20,7,0,0,0,3,0,0,0,3,5
21.25,2,52,0,55,8,5,0,0,1,0,0,0,0,6
21.5,1,28,0,41,3,3,0,0,1,0,1,0,1,6
21.75,0,21,0,55,5,18,0,0,1,0,0,0,2,11
22.0,0,3,0,17,2,13,0,0,2,0,0,0,0,16
22.25,0,7,0,38,1,45,0,0,2,0,0,0,0,43
22.5,0,1,0,20,1,51,0,0,0,0,1,0,0,53
22.75,0,1,0,7,2,27,0,0,0,0,0,0,0,51
23.0,0,0,0,4,0,6,0,0,0,0,0,0,0,24
23.25,0,1,0,3,0,7,0,0,0,0,0,0,0,39
23.5,0,0,0,0,0,10,0,0,0,0,0,0,0,14
23.75,0,0,0,2,0,2,0,0,0,0,0,0,0,12
24.0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
24.25,0,0,0,0,0,2,0,0,0,0,0,0,0,9
24.5,0,0,0,1,0,0,0,0,0,0,0,0,0,3
24.75,0,0,0,0,0,1,0,0,0,0,0,0,0,3
25.0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
25.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25.5,0,0,0,0,0,0,0,0,0,0,0,0,1,1
25.75,0,0,0,0,0,1,0,0,0,0,0,0,0,0
