Position,Changes,Cluster
2,2,0
1,1,0
11,6,3
1,1,0
2,2,0
12,5,3
1,1,0
5,7,1
5,5,1
1,1,0
2,2,0
5,3,2
2,0,0
1,1,0
2,2,0
1,1,0
1,1,0
5,2,2
2,0,0
5,4,2
1,1,0
1,1,0
1,5,1
2,0,0
1,3,0
2,0,0
1,5,1
1,1,0
2,2,0
2,5,1
1,1,0
1,1,0
1,1,0
2,0,0
2,0,0
2,6,1
2,0,0
2,0,0
2,6,1
1,1,0
2,2,0
3,1,0
1,1,0
2,0,0
6,4,2
4,6,1
1,1,0
4,3,2
2,2,0
7,3,2
1,1,0
2,0,0
1,1,0
2,0,0
7,1,2
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
5,1,2
2,0,0
1,1,0
1,1,0
2,0,0
1,1,0
1,1,0
1,1,0
2,0,0
7,1,2
2,0,0
2,0,0
6,1,2
2,0,0
3,2,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
3,1,0
2,0,0
1,1,0
3,1,0
2,0,0
2,0,0
1,1,0
2,0,0
1,1,0
2,0,0
1,1,0
2,2,0
2,2,0
1,1,0
1,1,0
1,1,0
1,1,0
2,0,0
1,1,0
1,1,0
2,0,0
4,1,2
2,2,0
1,1,0
8,4,3
2,0,0
1,1,0
1,3,0
1,1,0
4,3,2
2,0,0
2,0,0
10,5,3
2,0,0
1,1,0
1,1,0
6,7,1
8,7,3
1,1,0
1,1,0
2,0,0
1,1,0
1,3,0
2,0,0
2,0,0
