lap,THA,RUS,CUB,ESP,LTU,ESP,CZE,BEL,UKR,BLR,AUS,GER,GBR,CAN,GER,LTU,NED,COL,GBR,NZL,POL
1,21,9,16,20,4,14,6,7,18,5,13,17,3,8,2,1,10,19,11,12,15
2,21,13,17,20,3,14,6,11,18,5,9,16,4,12,7,1,8,19,2,9,15
3,21,13,17,20,5,15,7,11,14,9,4,18,3,12,10,1,6,19,2,8,16
4,21,15,14,20,8,18,7,13,11,9,4,16,5,10,12,1,6,19,2,3,17
5,21,16,12,20,9,19,7,15,10,11,4,14,5,8,13,1,6,17,2,3,18
6,21,18,11,17,10,20,7,16,9,12,4,14,5,8,13,2,6,15,1,3,19
7,21,18,10,16,11,20,9,17,8,15,4,14,5,7,12,2,6,13,1,3,19
8,21,18,13,12,15,20,9,17,8,16,5,14,4,7,11,3,6,10,1,2,19
9,21,18,14,11,15,20,9,17,8,16,5,13,4,7,12,3,6,10,1,2,19
10,21,18,14,10,15,20,9,16,8,17,5,13,4,7,12,3,6,11,1,2,19
11,21,18,16,9,15,20,12,14,8,17,5,13,4,7,11,3,6,10,1,2,19
12,21,17,16,9,15,20,14,13,8,18,5,11,4,7,10,3,6,12,1,2,19
