lap,MSP,IRI,CHN,NZL,FIN,TOS,ISD,GER,RUS,IRL,ESP,UKR,POL,LOK,NED
1,4,14,6,2,11,5,9,3,8,10,12,1,16,13,7
2,10,15,9,1,13,7,5,3,6,4,11,2,16,12,8
3,14,15,9,1,12,11,3,4,6,5,8,2,16,7,10
4,14,15,8,1,12,11,3,9,7,5,6,2,16,4,10
5,16,14,7,1,12,11,3,10,9,5,6,2,15,4,8
6,16,15,8,1,11,9,3,12,10,5,6,2,14,4,7
7,16,15,9,1,10,8,3,12,11,4,6,2,13,5,7
8,16,15,9,1,10,7,3,11,12,4,6,2,13,5,8
9,16,15,8,1,10,7,4,11,12,3,6,2,13,5,9
10,16,15,8,1,9,7,4,11,13,3,6,2,12,5,10
11,16,14,9,1,8,7,4,12,13,3,6,2,11,5,10
12,16,14,8,1,9,6,4,12,13,3,7,2,11,5,10
13,16,14,8,1,9,6,4,12,13,3,7,2,11,5,10
14,16,14,8,1,10,6,4,12,13,3,7,2,11,5,9
15,16,14,8,1,11,6,4,12,13,3,7,2,9,5,10
16,16,14,8,1,11,6,4,12,13,3,7,2,9,5,10
