lap,IRL,UKR,BEL,FRA,COL,HKG,SUI,CZE,GER,GRE,LOK,JPN,LTU,ARG
1,12,10,14,5,3,11,7,9,1,2,13,6,4,8
2,11,8,13,9,1,14,12,6,2,3,5,10,4,7
3,9,7,11,10,1,14,12,6,2,4,5,13,3,8
4,9,7,11,10,1,14,12,6,2,4,5,13,3,8
5,9,6,11,10,1,14,12,7,3,5,2,13,4,8
6,9,6,11,10,1,14,12,7,5,4,2,13,3,8
7,10,5,11,9,1,14,12,7,6,3,2,13,4,8
8,10,4,11,9,2,14,12,7,6,3,1,13,5,8
9,10,3,11,9,2,14,12,6,8,4,1,13,5,7
10,10,3,11,9,2,14,12,6,8,4,1,13,5,7
11,10,3,11,8,2,13,12,6,9,4,1,14,5,7
12,10,1,11,8,3,13,12,6,9,5,2,14,4,7
13,10,1,11,7,2,13,11,6,9,5,3,14,4,8
14,9,1,12,7,2,13,11,6,10,5,3,14,4,8
15,10,1,12,7,2,13,9,6,11,5,3,14,4,8
16,10,1,12,7,2,13,8,6,11,5,3,14,4,9
