lap,AUS,COL,BLR,IRL,UKR,USA,GER,LTU,CUB,GRE,CAN
1,10,9,4,11,2,8,6,1,7,5,3
2,10,9,3,11,8,4,5,1,7,6,2
3,9,7,5,11,10,2,4,1,6,8,3
4,8,6,5,11,10,2,4,1,7,9,3
5,8,6,5,11,10,2,4,1,7,9,3
6,8,5,6,11,10,1,4,2,7,9,3
7,8,5,6,11,10,1,4,2,7,9,3
8,9,4,6,11,10,1,5,2,7,8,3
9,9,4,6,11,10,1,5,2,7,8,3
10,9,4,6,11,10,1,5,3,7,8,2
11,9,4,6,11,10,1,5,3,7,8,2
12,9,4,6,11,10,1,5,3,7,8,2
13,9,4,6,11,10,1,5,3,7,8,2
14,9,3,6,11,10,1,5,4,8,7,2
15,9,3,6,11,10,1,5,4,8,7,2
16,9,3,6,11,10,1,5,4,8,7,2
17,9,3,6,11,10,1,5,4,8,7,2
18,9,3,6,11,10,1,5,4,8,7,2
19,9,3,6,11,10,1,5,4,8,7,2
20,10,3,6,11,9,1,5,4,8,7,2
21,10,3,6,11,9,1,5,4,8,7,2
22,10,3,7,11,9,1,5,4,8,6,2
23,10,3,7,11,9,1,5,4,8,6,2
24,10,3,7,11,9,1,5,4,8,6,2
