lap,BLR,BEL,CAN,CUB,CZE,ESP,FRA,EUS,GER,GRE,HPM,ITA,NED,POL,USA,THA
1,1,6,2,13,5,15,11,14,3,12,8,4,10,9,7,16
2,3,6,4,11,1,15,12,14,2,13,8,5,10,7,9,16
3,8,9,3,11,1,15,13,14,2,12,6,5,7,4,10,16
4,10,9,1,8,3,15,13,14,2,12,6,7,5,4,11,16
5,11,10,1,6,7,15,14,13,2,12,4,8,3,5,9,16
6,11,10,1,5,8,15,14,12,3,13,4,9,2,6,7,16
7,12,11,1,5,9,15,14,8,3,13,4,10,2,7,6,16
8,12,8,1,5,11,15,14,7,3,13,4,10,2,9,6,16
9,10,8,1,5,12,15,14,7,3,13,4,11,2,9,6,16
10,9,8,1,5,14,15,13,6,3,11,4,12,2,10,7,16
11,9,8,2,5,14,15,12,6,3,11,4,13,1,10,7,16
12,9,8,2,5,14,15,10,6,3,11,4,13,1,12,7,16
