lap,DEN,POL,GER,ESP,LTU,GBR,KTA,BRA,AUT,SUI,HKG,IRL,ITA,LOK,UKR,NZL,BEL,NED
1,14,12,11,17,2,1,10,15,13,3,16,18,6,4,8,5,9,7
2,11,13,8,14,2,1,10,15,17,7,16,18,5,4,6,9,3,12
3,8,14,7,12,5,2,9,15,18,11,17,16,4,3,6,10,1,13
4,7,14,8,11,5,2,9,15,18,13,17,16,4,3,6,10,1,12
5,7,14,8,9,6,2,10,15,18,13,17,16,4,3,5,11,1,12
6,8,14,9,6,7,1,10,16,18,13,17,15,4,3,5,11,2,12
7,11,14,9,6,7,1,10,17,18,13,16,15,5,3,4,8,2,12
8,12,14,10,5,7,1,11,17,18,13,16,15,6,3,4,8,2,9
9,10,14,11,5,9,1,13,17,18,12,16,15,6,4,3,7,2,8
10,10,14,11,5,9,1,12,17,18,13,16,15,6,4,3,8,2,7
11,10,14,11,5,8,1,12,17,18,13,16,15,6,4,3,9,2,7
12,9,14,11,5,8,1,12,17,18,13,16,15,6,4,3,10,2,7
13,8,15,10,5,9,1,12,17,18,13,16,14,6,4,3,11,2,7
14,8,15,10,5,9,1,12,17,18,13,16,14,6,4,3,11,2,7
15,8,15,9,4,10,1,12,17,18,13,16,14,7,5,3,11,2,6
16,8,15,9,4,10,1,12,17,18,13,16,14,7,5,3,11,2,6
