lap,2009,KOR,IRL,2009,ESP,TPE,2009,AUS,NED,2009,POL,JPN,2009
1,13,12,7,5,6,10,2,3,9,8,1,4,11
2,13,9,8,2,6,11,4,5,10,7,1,3,12
3,13,9,8,2,5,11,4,7,10,6,1,3,12
4,12,10,8,2,5,11,4,7,9,6,1,3,13
5,11,12,8,2,4,10,5,6,9,7,1,3,13
6,11,13,7,3,4,10,8,5,9,6,1,2,12
7,10,13,6,3,4,11,8,5,9,7,1,2,12
8,10,13,5,2,4,11,9,6,8,7,1,3,12
9,9,13,5,2,4,11,10,6,8,7,1,3,12
10,8,13,5,2,4,10,12,7,9,6,1,3,11
11,7,13,5,2,4,10,12,8,9,6,1,3,11
12,7,13,6,2,4,10,12,8,9,5,1,3,11
13,7,13,6,2,4,10,12,9,8,5,1,3,11
14,7,13,6,2,4,10,12,9,8,5,1,3,11
15,8,13,6,1,4,10,12,9,7,5,2,3,11
16,8,13,6,1,3,9,12,10,7,5,2,4,11
