lap,2009,MEX,RDN,2009,SUI,KOR,2009,GER,USA,2009,UKR,BEL,2009,NED,HKG,2009
1,14,5,12,13,9,3,8,4,6,15,23.378,2,11,7,10,1
2,14,7,11,13,4,8,5,3,6,15,18.315,2,12,10,9,1
3,15,8,12,13,3,9,7,5,4,14,18.276,1,11,10,6,2
4,15,8,12,13,2,9,5,7,3,14,18.481,1,10,11,4,6
5,15,8,12,13,5,10,3,7,4,14,18.594,1,9,11,2,6
6,15,8,11,12,5,10,3,7,4,14,18.495,1,9,13,2,6
7,15,8,11,12,5,10,3,9,4,14,17.999,1,6,13,2,7
8,15,8,11,12,5,10,3,9,4,14,17.688,1,6,13,2,7
9,15,8,11,12,6,10,3,9,4,14,17.954,1,5,13,2,7
10,15,8,10,12,6,11,3,9,4,14,18.125,1,5,13,2,7
11,15,10,9,12,6,11,3,8,4,14,18.206,1,5,13,2,7
12,15,11,8,13,7,10,3,9,5,14,17.886,2,4,12,1,6
