lap,SUI,HKG,NZL,BEL,CHN,ESP,GRE,CHN,DEN,IRL,BEL,FRA,GER,NED,RUS,ITA,KAZ,RUS,NED,COL,LTU,AUS,UKR,AUS,UKR,USA,NZL
1,1,25,16,26,23,24,20,14,2,12,21,9,8,6,19,17,22.423,22,18,7,3,5,15,11,13,4,10
2,6,25,8,26,24,23,22,19,1,13,18,16,9,11,15,17,16.085,21,20,12,3,5,14,4,10,2,7
3,9,25,7,24,26,23,22,21,1,14,17,19,12,15,10,16,16.118,18,20,13,5,6,11,2,8,3,4
4,19,25,5,24,26,22,23,21,1,14,16,18,15,13,8,17,16.517,11,20,12,6,7,9,2,10,4,3
5,21,25,5,24,26,20,23,22,1,13,14,18,17,15,6,16,16.866,11,19,12,8,7,10,2,9,4,3
6,24,25,5,21,26,20,23,22,2,12,14,18,16,15,6,17,16.977,11,19,13,10,7,9,1,8,4,3
7,25,24,6,21,26,20,23,22,2,12,14,18,16,15,5,17,17.203,10,19,13,11,8,9,1,7,4,3
8,25,24,6,21,26,20,23,22,2,11,14,19,15,16,5,17,17.585,10,18,13,12,7,9,1,8,4,3
9,26,24,7,21,25,20,23,22,2,11,13,19,15,17,5,18,17.854,10,16,12,14,6,9,1,8,4,3
10,26,23,8,21,25,20,24,22,5,11,14,19,13,17,4,16,18.060,10,15,12,18,6,9,1,7,3,2
11,26,22,8,21,25,19,24,23,7,11,15,18,13,17,4,16,17.454,10,14,12,20,5,9,1,6,3,2
12,26,22,7,20,25,18,24,23,8,11,15,19,13,17,4,16,17.253,10,14,12,21,5,9,1,6,2,3
13,26,22,7,19,25,18,24,23,8,11,15,20,13,17,4,16,17.554,10,14,12,21,5,9,1,6,2,3
14,26,20,7,19,25,18,24,23,8,12,16,21,13,17,4,15,17.805,11,14,10,22,5,9,1,6,2,3
15,26,20,7,19,25,18,24,23,8,13,16,21,11,17,4,15,18.005,12,14,10,22,5,9,3,6,1,2
16,26,20,7,19,24,18,25,23,8,12,17,21,11,16,4,14,18.150,13,15,10,22,5,9,3,6,2,1
