lap,NZL,THA,KOR,LTU,ESP,CHN,GER,NED,GER,HKG,SUI,AUS,GRE,CUB,NED,USA,LTU,UKR,GBR,LTU,NZL,CAN
1,20,21,18,4,16,15,6,11,5,22,17,19,14,7,13,12,1,10,8,2,9,3
2,20,21,15,8,17,18,9,10,12,22,16,14,19,11,13,7,1,4,5,2,6,3
3,19,21,14,13,18,16,10,8,17,22,15,11,20,9,12,7,1,4,2,5,6,3
4,15,21,12,16,18,14,11,7,20,22,17,10,19,9,13,3,1,6,2,8,4,5
5,15,21,10,17,19,13,11,5,20,22,16,9,18,8,12,2,1,7,3,14,4,6
6,14,21,10,19,20,13,12,5,18,22,15,8,17,9,11,1,2,6,4,16,3,7
7,13,21,10,19,20,12,14,5,16,22,15,8,18,9,11,1,3,6,4,17,2,7
8,12,21,11,19,20,13,15,5,16,22,14,8,17,10,9,1,4,6,3,18,2,7
9,10,21,11,20,19,12,15,5,16,22,14,9,17,13,8,1,4,6,3,18,2,7
10,8,21,11,20,19,10,15,5,16,22,13,12,17,14,9,1,4,6,2,18,3,7
11,7,21,11,20,19,10,16,5,15,22,12,13,17,14,9,1,4,6,2,18,3,8
12,7,21,12,19,20,10,16,5,14,22,11,13,17,15,8,1,4,6,2,18,3,9
