lap,RUS,GBR,MSP,ITA,LOK,DEN,ESP,BLR,CHN,CAT,AUS,GER,BEL,FRA,IRL,LTU,NED,UKR,HKG
1,13,15,8,6,11,19,18,16,9,10,5,4,14,2,17,1,3,7,12
2,10,15,11,4,13,19,16,14,9,7,5,3,12,8,17,2,6,1,18
3,9,16,13,4,11,15,18,14,8,7,5,3,10,12,17,2,6,1,19
4,9,16,15,6,11,12,17,13,8,7,3,4,10,14,18,2,5,1,19
5,5,16,15,10,9,11,17,13,7,4,6,8,12,14,18,2,3,1,19
6,2,15,16,11,8,9,17,13,6,4,7,12,10,14,18,3,5,1,19
7,2,14,16,11,8,9,17,15,5,3,7,12,10,13,18,4,6,1,19
8,2,14,17,11,9,8,16,15,3,4,5,12,10,13,18,6,7,1,19
9,2,11,16,13,7,6,17,15,3,5,4,14,10,12,18,9,8,1,19
10,2,11,16,14,6,7,17,15,4,5,3,13,10,12,19,9,8,1,18
11,3,11,17,14,6,5,18,15,4,7,2,13,9,12,19,10,8,1,16
12,3,11,17,16,6,4,18,14,5,7,2,13,9,12,19,10,8,1,15
13,4,11,18,16,5,3,17,15,6,7,2,13,9,12,19,10,8,1,14
14,5,10,18,16,4,3,17,13,6,7,2,14,9,12,19,11,8,1,15
15,5,10,17,16,4,3,18,13,6,7,2,14,8,11,19,12,9,1,15
16,5,9,16,17,4,3,18,13,6,7,2,14,8,11,19,12,10,1,15
