lap,MEX,AUS,FGN,CHN,KOR,GPC,GER,FRA,UKR,SUI,RUS,CUB,HKG,NZL,NED,LTU,CAN
1,6,4,16,5,10,15,12,11,14,3,9,8,17,7,13,1,2
2,7,5,15,6,12,16,10,13,14,3,9,8,17,4,11,1,2
3,7,5,15,6,11,16,8,14,9,3,12,10,17,4,13,1,2
4,7,5,16,6,8,15,10,14,9,4,12,11,17,3,13,1,2
5,8,4,16,6,7,15,9,14,10,5,12,11,17,3,13,1,2
6,8,4,15,6,7,16,10,14,11,5,13,9,17,2,12,1,3
7,9,4,15,6,7,16,10,14,12,5,13,8,17,1,11,2,3
8,11,4,15,7,6,17,10,14,12,5,13,8,16,1,9,2,3
9,11,4,16,7,5,17,10,14,12,6,13,9,15,1,8,2,3
10,11,4,17,7,5,16,10,14,13,6,12,9,15,1,8,2,3
11,10,4,17,8,5,16,11,14,13,7,12,9,15,1,6,2,3
12,10,4,17,9,5,16,11,13,14,7,12,8,15,1,6,2,3
