lap,ESP,AUS,NAV,ITA,UKR,COL,MEX,RUS,POL,IRL,GER,BEL,FRA,DFT,LTU,SUI,NZL,CUB,GBR,BLR
1,13,14,6,17,11,19,16,8,15,6,9,18,12,20,1,4,2,5,3,9
2,19,12,14,18,13,15,16,6,11,5,9,20,10,17,2,8,4,3,1,7
3,19,14,18,17,13,12,15,8,10,5,7,20,11,16,3,9,4,2,1,6
4,18,14,19,17,13,12,16,8,10,4,6,20,11,15,5,9,3,2,1,7
5,18,14,19,17,13,12,15,8,10,4,6,20,11,16,5,9,2,3,1,7
6,17,14,20,18,13,12,15,11,10,3,6,19,9,16,5,8,2,4,1,7
7,15,14,20,17,13,11,16,12,10,3,7,19,9,18,5,8,1,4,2,6
8,15,12,20,16,14,11,17,13,10,3,7,19,9,18,8,6,1,4,2,5
9,14,12,20,16,13,11,17,15,10,3,6,19,8,18,9,4,1,7,2,5
10,13,11,20,16,14,12,17,15,10,3,6,19,7,18,9,4,1,8,2,5
11,11,12,20,16,14,13,17,15,10,3,6,18,7,19,9,4,1,8,2,5
12,11,10,20,15,14,13,17,16,12,4,5,18,7,19,9,3,1,8,2,6
