lap,RUS,UZB,COL,GER,ITA,BEL,COL,ESP,GBR,NED,SUI,KAZ,FRA,SUI,NED,AUS,HKG,ESP,AUS,UKR,NZL
1,13,16,8,2,21,7,19,10,15,14,17,5,20,6,12,18,11,3,4,9,1
2,9,17,10,3,21,5,19,12,14,15,18,11,20,8,7,16,13,1,4,6,2
3,8,18,9,4,21,5,17,11,14,16,19,13,20,10,7,15,12,1,3,6,2
4,6,18,9,8,21,3,17,10,14,16,19,13,20,11,7,15,12,1,2,4,5
5,4,21,9,8,19,5,17,10,14,16,20,13,18,11,7,15,12,1,2,3,6
6,2,20,8,10,19,6,17,9,14,16,21,13,18,11,7,15,12,1,3,4,5
7,2,20,9,10,19,7,17,8,14,16,21,13,18,11,6,15,12,1,4,5,3
8,2,20,9,10,19,7,17,8,14,16,21,13,18,11,6,15,12,1,5,4,3
9,3,20,10,9,19,7,17,8,14,16,21,13,18,11,5,15,12,1,6,4,2
10,4,20,10,9,19,6,17,8,14,16,21,13,18,11,5,15,12,1,7,3,2
11,4,20,11,9,19,6,17,8,14,16,21,13,18,10,5,15,12,1,7,3,2
12,4,20,13,9,19,6,17,7,14,16,21,12,18,10,5,15,11,1,8,3,2
13,5,20,13,8,18,6,19,7,14,15,21,11,17,10,4,16,12,1,9,3,2
14,5,20,12,8,18,6,19,7,14,15,21,9,17,10,4,16,11,1,13,3,2
15,5,20,12,8,17,6,19,7,14,15,21,9,18,10,4,16,11,1,13,2,3
16,5,20,12,7,16,6,19,8,14,15,21,9,18,10,3,17,11,1,13,2,4
