lap,GRE,ITA,CHI,GER,SUI,HKG,COL,BEL,FRA,ESP,RUS,NED,UKR,DEN,NZL,GBR,AUS
1,8,17,4,1,11,15,13,9,5,16,10,2,12,14,6,3,7
2,12,17,5,2,14,16,13,9,6,15,10,1,8,11,7,3,4
3,12,16,9,2,15,17,14,11,5,13,10,1,8,7,6,3,4
4,15,13,10,4,16,17,14,11,7,12,6,1,8,8,5,2,3
5,16,13,10,4,15,17,14,11,8,12,5,3,9,7,6,1,2
6,16,14,10,6,15,17,13,11,8,12,3,4,9,7,5,1,2
7,16,15,11,6,14,17,13,10,8,12,2,5,9,7,4,1,3
8,16,15,11,7,14,17,13,9,10,12,1,5,8,6,4,3,2
9,16,15,12,7,14,17,13,8,11,10,1,6,9,5,4,3,2
10,16,15,11,7,14,17,12,10,13,8,1,6,9,5,4,3,2
11,16,15,13,6,14,17,11,10,12,8,1,7,9,5,4,3,2
12,16,15,12,7,14,17,11,10,13,6,1,8,9,5,4,3,2
13,16,15,12,7,14,17,11,10,13,6,1,8,9,4,5,3,2
14,16,15,12,7,14,17,11,10,13,6,1,9,8,4,5,3,2
15,16,15,12,7,14,17,11,9,13,6,1,8,10,5,4,3,2
16,16,15,12,7,14,17,11,8,13,6,1,10,9,5,4,3,2
17,16,15,12,7,14,17,10,8,13,6,1,9,11,5,4,3,2
18,16,15,12,7,14,17,10,8,13,6,1,9,11,5,4,3,2
19,16,15,12,8,14,17,9,7,13,6,1,10,11,5,4,3,2
20,16,15,12,7,14,17,9,8,13,6,1,10,11,5,4,3,2
21,16,15,12,7,14,17,9,8,13,6,1,10,11,5,4,3,2
22,16,15,13,8,14,17,7,9,12,6,1,10,11,5,4,3,2
23,16,15,14,8,13,17,7,9,12,6,1,10,11,5,4,3,2
24,16,15,14,7,13,17,8,10,12,6,1,9,11,5,4,3,2
25,16,15,14,7,13,17,9,8,12,6,1,10,11,5,4,3,2
26,16,15,14,6,12,17,10,8,13,7,1,9,11,5,4,3,2
27,16,15,14,5,12,17,10,8,13,7,2,9,11,6,4,3,1
28,16,15,14,5,13,17,10,8,12,6,2,9,11,7,4,3,1
29,16,15,14,6,13,17,10,9,12,5,2,7,11,8,4,3,1
30,16,15,14,7,13,17,10,8,12,5,2,6,11,9,4,3,1
31,16,15,14,7,13,17,10,8,12,5,2,6,11,9,4,3,1
32,16,15,14,7,13,17,10,8,12,5,2,6,11,9,4,3,1
