lap,CUB,TPE,AUS,BLR,GER,NZL,USA,LTU,IRL,AUS,BLR,SUI,NZL,THA,LTU,NED
1,5,2,8,7,13,15,12,10,11,4,14,16,1,9,6,3
2,4,14,5,11,13,15,10,7,9,8,12,16,1,6,3,2
3,4,15,8,11,13,14,10,6,5,9,12,16,1,7,2,3
4,4,15,8,10,13,14,12,5,6,9,11,16,1,7,2,3
5,4,16,11,10,13,14,12,5,7,8,9,15,1,6,2,3
6,4,16,11,10,12,14,13,6,7,9,8,15,2,5,1,3
7,5,15,12,10,11,13,14,7,9,8,6,16,3,4,1,2
8,5,16,13,9,11,12,14,7,10,8,6,15,3,4,1,2
9,6,16,13,9,11,12,14,8,10,7,5,15,3,4,1,2
10,6,16,13,9,10,12,14,8,11,7,4,15,3,5,1,2
11,6,16,13,10,9,12,14,8,11,7,4,15,3,5,1,2
12,6,16,13,11,8,12,14,9,10,7,4,15,3,5,1,2
