lap,ITA,HKG,BLR,POL,RUS,CHN,LTU,BEL,UKR,GER,CAN,NED,USA,NZL,GBR,AUS
1,7,16,10,4,12,15,1,8,5,11,14,6,9,3,2,13
2,8,16,13,11,8,15,1,10,6,14,12,4,7,3,2,5
3,11,16,13,14,8,15,1,10,5,12,9,4,7,2,3,6
4,14,16,11,12,8,15,1,13,6,10,9,4,5,2,3,7
5,14,16,11,12,7,15,3,13,6,10,9,4,5,1,2,8
6,15,16,11,12,7,14,4,13,6,9,10,3,5,1,2,8
7,14,16,11,12,6,13,7,15,4,8,10,3,5,1,2,9
8,15,16,11,12,4,13,9,14,6,8,10,3,5,1,2,7
9,15,16,11,12,4,13,9,14,6,8,10,3,5,1,2,7
10,15,16,11,12,5,13,10,14,7,8,9,3,4,1,2,6
11,15,16,10,12,6,13,11,14,7,8,9,3,4,1,2,5
12,15,16,10,13,6,12,11,14,7,8,9,3,4,1,2,5
13,15,16,10,14,8,12,11,13,6,7,9,3,4,1,2,5
14,15,16,10,14,8,12,11,13,7,6,9,3,4,1,2,5
15,15,16,10,14,8,11,12,13,7,6,9,3,4,1,2,5
16,15,16,10,14,9,11,12,13,7,6,8,3,4,1,2,5
17,15,16,10,14,9,11,13,12,7,6,8,3,4,1,2,5
18,15,16,10,14,9,11,13,12,8,6,7,4,3,2,1,5
19,15,16,11,14,9,10,13,12,7,6,8,4,3,2,1,5
20,15,16,11,14,9,10,13,12,7,6,8,5,3,2,1,4
21,15,16,11,14,9,10,13,12,8,6,7,5,2,3,1,4
22,15,16,11,14,9,10,13,12,8,6,7,5,2,3,1,4
23,15,16,12,14,9,10,13,11,8,7,6,5,2,3,1,4
24,15,16,12,14,11,9,13,10,8,7,6,5,2,3,1,4
