lap,JPN ,KOR ,CHN ,AUS ,HKG ,UKR ,NED ,RUS ,BEL ,POL ,BLR ,RVL ,VEN ,GER ,CAN 
1,4,5,12,3,13,9,7,15,11,6,1,2,16,8,10
2,9,5,11,3,14,7,6,15,10,4,1,2,16,8,13
3,11,7,9,3,14,8,5,15,12,6,1,2,16,4,13
4,13,8,9,3,14,6,5,15,12,7,1,2,16,4,11
5,12,7,6,3,13,8,5,14,11,9,1,2,16,4,10
6,12,8,6,3,14,7,5,13,11,9,1,2,15,4,10
7,12,8,6,2,14,7,5,13,11,9,1,3,15,4,10
8,12,8,6,2,14,7,3,13,9,11,1,5,15,4,10
9,11,8,5,3,14,7,1,13,9,12,2,6,15,4,10
10,11,9,2,3,14,7,1,12,8,13,6,5,15,4,10
11,11,8,2,4,14,9,1,12,7,13,6,5,15,3,10
12,10,8,2,5,14,9,1,11,7,13,6,4,15,3,12
