lap,SUI,GBR,GER,DEN,NED,CHI,ESP,KAZ,BEL,NZL,KOR,NED,FRA,RUS,HKG,AUS,BEL,AUS,AUS
1,18,3,17,21,7,20,13,2,19,15,9,5,10,16,12,1,6,4,11
2,20,4,14,21,9,19,12,7,18,11,16,6,10,13,17,1,3,2,5
3,21,4,13,20,12,19,9,11,18,6,16,7,10,14,17,3,2,1,5
4,21,5,12,19,13,20,9,14,17,6,16,8,10,15,18,4,2,1,3
5,21,3,13,19,14,20,8,15,16,6,17,11,9,12,18,5,2,1,4
6,21,3,14,18,13,20,9,15,16,6,17,12,10,11,19,5,2,1,4
7,20,3,15,18,12,21,10,17,14,6,16,13,9,11,19,5,2,1,4
8,20,2,16,17,12,21,10,18,13,6,14,15,9,11,19,4,5,1,3
9,20,2,16,15,12,21,10,18,13,6,14,17,9,11,19,4,5,1,3
10,20,4,16,15,12,21,10,18,13,6,14,17,9,11,19,3,5,1,2
11,20,4,16,15,12,21,10,18,14,6,13,17,9,11,19,3,5,1,2
12,20,4,16,14,10,21,12,18,15,6,13,17,9,11,19,3,5,1,2
13,19,4,16,14,10,21,13,18,15,5,12,17,9,11,20,3,6,2,1
14,17,4,16,14,10,21,15,19,13,5,12,18,9,11,20,3,6,2,1
15,17,4,16,14,10,20,15,19,12,5,13,18,9,11,21,3,7,2,1
16,17,5,16,13,12,19,15,18,10,4,14,20,9,11,21,3,7,2,1
