lap,TPE ,USA ,CHN ,KAZ ,ITA ,KOR ,HKG ,UKR ,SUI ,GER ,BEL ,NED ,LOK ,GBR ,RVL ,NZL ,AUS 
1,14,8,4,16,17,11,9,6,15,10,13,3,12,2,7,1,5
2,16,11,3,15,17,9,10,7,14,8,12,6,13,2,4,1,5
3,17,14,4,15,16,9,10,7,11,8,12,6,13,5,2,1,3
4,17,15,4,14,16,9,10,6,11,8,12,7,13,5,1,2,3
5,17,14,4,15,16,9,11,6,10,8,12,7,13,5,1,2,3
6,17,14,4,15,16,9,11,6,10,7,13,8,12,5,1,2,3
7,17,14,4,15,16,7,10,6,12,8,13,9,11,5,1,2,3
8,17,14,6,15,16,7,11,5,13,8,12,9,10,4,1,2,3
9,17,14,6,15,16,7,13,4,12,8,10,9,11,5,1,2,3
10,17,14,8,15,16,7,13,5,12,6,10,9,11,4,1,2,3
11,17,14,9,15,16,6,12,5,13,7,8,10,11,4,1,2,3
12,17,14,9,15,16,6,13,5,12,7,8,10,11,4,1,3,2
13,17,14,9,15,16,5,13,6,11,7,8,10,12,4,1,3,2
14,17,13,10,16,15,5,14,7,12,6,9,8,11,4,1,3,2
15,17,13,12,16,15,5,14,6,11,7,9,8,10,4,1,3,2
16,17,13,12,16,15,5,14,6,11,7,10,8,9,4,1,3,2
