lap,BLR ,CZE ,CHN ,KAZ ,ITA ,HKG ,SUI ,UKR ,GER ,DEN ,BEL ,ESP ,RUS ,AUS ,GBR 
1,14,8,12,13,4,11,15,7,6,9,5,10,1,3,2
2,15,10,14,12,7,13,11,8,5,6,4,9,1,2,3
3,15,7,14,13,9,12,11,10,5,6,4,8,1,2,3
4,15,7,14,13,10,12,9,11,4,5,6,8,1,2,3
5,15,10,14,13,9,12,8,11,5,4,6,7,1,2,3
6,15,10,12,14,9,13,8,11,5,3,6,7,2,1,4
7,15,10,12,14,9,13,8,11,5,2,6,7,4,1,3
8,15,10,12,14,9,13,8,11,6,3,5,7,4,1,2
9,15,10,12,14,9,13,8,11,6,3,5,7,4,2,1
10,15,10,11,14,9,13,8,12,6,3,5,7,4,2,1
11,15,11,10,14,9,13,8,12,6,3,5,7,4,2,1
12,15,10,11,14,9,13,8,12,6,3,5,7,4,2,1
13,15,10,11,14,9,13,8,12,6,3,5,7,4,2,1
14,15,11,10,14,9,12,8,13,7,3,5,6,4,2,1
15,15,12,10,14,9,11,8,13,7,3,6,4,5,2,1
16,15,11,10,13,9,12,8,14,6,3,7,4,5,1,2
