NikolayZHURKIN,2,-1,1
YuriyTSYUPYK,-3,0,0
ClemensSELZER,-5,-6,2
AzikiweKELLAR,0,0,0
YudaiNITTA,-8,-6,3
JuanPERALTA GASCON,-3,0,0
AdrianTEKLINSKI,-4,0,-1
FilipDITZEL,1,1,-2
YondiSCHMIDT,-3,-4,-5
GadiCHAID,2,1,-1
TomasBABEK,1,1,-2
MichaelSEIDENBECHER,-2,-4,0
MiaoZHANG,-2,-6,2
DavidALONSO CASTILLO,-3,0,0
StefanNIMKE,6,5,0
TaylorPHINNEY,3,12,8
QuentinLAFARGUE,0,3,5
DavidDANIELL,1,-1,-5
KamilKUCZYNSKI,2,-1,-3
EdwardDAWKINS,5,1,3
TimVELDT,-1,4,3
ScottSUNDERLAND,-2,-2,2
HaoLI Wen,5,-1,-3
YevhenBOLIBRUKH,3,4,-2
RizalTISIN Mohd,4,3,3
FrancoisPERVIS,0,-1,-5
MichaelD'ALMEIDA,1,0,-1
TeunMULDER,-1,-2,-2
