NontasinCHANPENG,0,0,0,0,0,0,0,0,0,0,0
OlgaSLYUSAREVA,-4,0,-2,-1,-2,0,0,0,0,0,1
DalilaRODRIGUEZ HERNANDEZ,-1,0,3,2,1,1,-3,-1,0,-2,0
LeireOLABERRIA DORRONSORO,0,0,0,0,3,1,4,1,1,1,0
AusrineTREBAITE,1,-2,-3,-1,-1,-1,-4,0,0,0,0
GemaPASCUAL TORRECILLA,0,-1,-3,-1,-1,0,0,0,0,0,0
LadaKOZLIKOVA,0,-1,0,0,0,-2,0,0,0,-3,-2
JolienD'HOORE,-4,0,-2,-2,-1,-1,0,0,1,2,1
SvitlanaGALYUK,0,4,3,1,1,1,0,0,0,0,0
TatsianaSHARAKOVA,0,-4,0,-2,-1,-3,-1,0,-1,0,-1
JosephineTOMIC,4,5,0,0,0,0,-1,0,0,0,0
CharlotteBECKER,1,-2,2,2,0,0,0,1,0,0,2
JoannaROWSELL,-1,1,-2,0,0,0,1,0,0,0,0
TaraWHITTEN,-4,0,2,2,0,1,0,0,0,0,0
VerenaJOOS,-5,-3,-2,-1,0,1,1,-1,0,1,1
VilijaSEREIKAITE,0,0,0,0,-1,0,-1,0,0,0,0
EleonoraVAN DIJK,2,2,0,0,0,0,0,0,0,0,0
LuisaCALLE WILLIAMS Maria,0,0,0,2,2,2,3,0,-1,1,-2
WendyHOUVENAGHEL,9,0,0,0,1,0,0,0,0,0,0
AlisonSHANKS,3,1,5,0,0,0,1,0,0,0,0
EdytaJASINSKA,0,-1,-1,-1,-1,0,0,0,0,0,0
