MarcusCHRISTIE,1,2,0,0,0,-1,0,0,0,0,0,0,1,-1,0
VitaliyPOPKOV,2,1,0,1,0,1,1,1,0,0,2,0,0,0,0
IngmarDE POORTERE,1,2,0,0,0,0,0,0,0,0,0,0,-1,0,0
JulienMORICE,-4,-1,0,0,0,1,0,0,0,1,0,1,0,0,0
EstebanARANGO CARVAJAL Juan,2,0,0,0,0,0,-1,0,0,0,-1,1,0,0,0
LokCHEUNG King,-3,0,0,0,0,0,0,0,0,1,0,0,0,0,0
KilianMOSER,-5,0,0,0,0,0,0,0,0,0,0,1,0,2,1
MilanKADLEC,3,0,0,-1,0,0,0,1,0,0,0,0,0,0,0
FabianSCHAAR,-1,0,0,-1,-2,-1,0,-2,0,-1,0,0,-1,-1,0
DimitriosPOLYDOROPOULOS,-1,-1,0,-1,1,1,0,-1,0,0,-1,0,0,0,0
ValeryKAIKOV,8,0,0,3,0,0,1,0,0,0,-1,-1,0,0,0
RyuSASAKI,-4,-3,0,0,0,0,0,0,0,-1,0,0,0,0,0
GediminasBAGDONAS,0,1,0,-1,1,-1,-1,0,0,0,1,0,0,0,0
FernandoANTOGNA Jose,1,-1,0,0,0,0,0,1,0,0,0,-1,0,0,-1
