MichaelTHOMSON,15,15,13,13
DeivyCAPELLAN ALMONTE,14,16,19,19
MartynIRVINE,19,19,18,15
NikolayZHURKIN,10,10,11,7
HernandoPUERTA ZAPATA Fabian,16,11,8,8
LucaCECI,13,12,12,10
CristopherMANSILLA,11,14,14,14
StephaneCOSSETTE,8,6,7,11
CarlosCARRASCO,18,18,16,16
MathiasSTUMPF,3,3,5,9
SergioALIAGA CHIVITE,17,17,17,18
FrancoisPERVIS,1,2,2,2
VasileiosREPPAS,6,7,9,12
YorickBOS,9,13,15,17
MichaelD'ALMEIDA,2,1,1,1
DavidALONSO CASTILLO,4,5,4,5
YevhenBOLIBRUKH,5,4,3,3
YudaiNITTA,7,9,10,6
TomasBABEK,12,8,6,4
