ArnaudDEPREEUW,-6,-2,0,-1,1,1,0,1,0,1,0,0,0,0,0
MattiPAJARI,0,0,0,0,-2,0,0,1,0,0,0,0,0,0,-1
EugenWACKER,0,-1,0,1,1,0,0,0,1,0,0,0,0,0,1
IharHOVAR,-6,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0
FrostLOLLESGAARD Martin,0,1,2,1,2,0,0,-1,0,0,0,0,1,0,0
MarcelloBERTOLO,0,-1,-2,-1,0,0,1,0,0,0,0,0,0,0,0
LeviHEIMANS,-3,0,1,0,0,0,0,0,0,0,0,0,1,-1,0
GediminasBAGDONAS,-3,-2,-3,0,0,-1,0,0,0,-1,0,0,-1,0,0
DominiqueCORNU,7,2,0,0,-1,0,-1,0,0,0,0,0,1,-1,0
JakubSREDZINKI,1,0,-1,0,-1,-1,0,-1,-1,0,0,0,0,0,0
RobertBARTKO,0,-3,1,0,0,1,0,0,0,0,0,0,1,2,0
FaerkCHRISTENSEN Michael,4,-2,1,0,0,0,1,1,1,0,0,0,0,0,2
DavidO'LOUGHLIN,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TaylorPHINNEY,1,7,1,2,0,2,0,0,0,0,-1,0,0,0,-1
ValeryKAIKOV,2,1,1,1,0,-2,0,0,-2,0,0,0,-3,0,0
SergiESCOBAR ROURE,1,-1,1,-1,0,0,0,0,0,0,1,0,0,0,-1
AlexeiMARKOV,1,1,-2,-2,1,0,0,-1,1,0,0,0,0,0,0
