TatsianaSHARAKOVA,-2,-5,-2,-1,0,-1,0,2,1,0,0
JolienD'HOORE,0,-3,0,-1,0,-1,3,0,0,0,0
TaraWHITTEN,-2,1,2,0,0,0,0,0,0,-1,0
DalilaRODRIGUEZ HERNANDEZ,2,0,3,2,1,0,0,0,0,0,0
MartinaRUZICKOVA,4,0,-2,-4,-1,-1,-2,-1,-2,0,0
GemaPASCUAL TORRECILLA,0,0,0,0,0,0,0,0,0,0,0
FionaDUTRIAUX,-1,-1,0,-1,0,0,0,0,1,1,2
LeireOLABERRIA DORRONSORO,0,0,0,1,1,4,1,0,1,0,0
VerenaJOOS,1,0,0,0,-1,0,0,0,0,0,0
ElissavetCHANTZI,-1,1,0,0,-1,0,0,0,2,0,0
JoannaROWSELL,0,2,0,2,0,0,0,0,0,0,0
LauraDORIA,-1,0,-2,-1,-1,-1,0,-1,-1,-1,0
EleonoraVAN DIJK,0,3,2,2,1,0,0,0,0,1,0
EdytaJASINSKA,2,3,0,-1,-1,-1,-2,0,-1,0,-2
KimberlyGEIST,-2,-1,-1,2,2,1,0,0,-1,0,0
NontasinCHANPENG,0,0,0,0,0,0,0,0,0,0,0
