AnaUSABIAGA BALERDI,0,0,0,0,0,0,0,0,0,-1,0
JessieDAAMS,0,0,0,0,0,0,0,0,0,0,0
EdytaJASINSKA,-1,0,0,0,-1,-1,-1,0,-1,-1,0
VictoriaKONDEL,0,1,0,-1,0,-1,-1,0,0,1,0
LotteVAN HOEK,0,0,0,0,0,0,0,0,0,0,0
OlatzFERRAN ZUBILAGA,0,0,0,0,0,0,0,0,0,1,0
FionaDUTRIAUX,1,1,-1,0,-2,0,0,-1,0,0,0
JamieWONG Wan Yiu,-1,-3,0,0,1,-1,1,0,1,0,0
ElissavetCHANTZI,0,0,-2,0,0,1,0,0,0,-1,-3
VerenaJOOS,-1,-1,0,0,0,-1,-1,0,-1,0,0
AusrineTREBAITE,3,0,0,-1,0,1,1,0,0,0,2
VeraKOEDOODER,-1,0,1,0,1,2,1,0,1,0,2
LeireOLABERRIA DORRONSORO,1,2,1,2,1,1,0,0,1,1,0
JosephineTOMIC,1,0,0,0,0,-1,0,0,-1,0,-1
LadaKOZLIKOVA,1,1,2,0,0,0,0,0,0,0,0
WendyHOUVENAGHEL,-3,-1,-1,0,0,0,0,1,0,0,0
