"21,Nov",0,-1,0,0,0,0,0,0,0,0,0
AdrianaMARTINEZ,-2,-1,0,0,0,0,0,0,0,-2,-1
HelenKELLY,1,-1,0,0,1,0,0,0,1,1,1
"21,Nov",0,0,0,0,1,0,0,0,0,0,-1
PascaleSCHNIDER,5,1,1,-3,0,0,0,-1,0,0,-1
HyeLEE Min,-5,-1,0,-1,0,0,0,0,-1,0,1
"21,Nov",3,-2,2,2,0,0,0,0,0,0,0
MadeleineSANDIG,1,-2,-2,0,0,-2,0,0,0,1,-1
KimberlyGEIST,0,2,1,-1,0,0,0,0,0,0,-1
"21,Nov",0,1,0,0,0,0,0,0,0,0,0
JolienD'HOORE,0,1,0,0,0,0,0,0,0,0,-1
"21,Nov",-1,1,1,1,0,3,0,1,0,0,1
EleonoraVAN DIJK,-3,0,-1,0,-2,0,0,0,0,0,1
JamieWONG Wan Yiu,1,3,2,2,0,0,0,0,0,0,1
"21,Nov",0,-1,-4,0,0,-1,0,0,0,0,1
