SilvanDILLIER,-5,-3,-10,-2,-3,-1,0,-1,0,0,0,0,0,0,0
LokCHEUNG King,0,0,0,0,0,1,0,0,1,1,0,0,2,0,0
WestleyGOUGH,8,1,2,0,0,-1,0,-1,-1,0,1,0,0,0,0
JonathanDUFRASNE,0,2,0,0,3,0,0,0,0,0,1,1,0,0,0
XiaoJIANG,-1,-2,0,0,0,0,0,1,0,0,0,0,0,0,1
AlbertTORRES BARCELO,1,0,1,2,0,0,0,0,0,1,1,0,0,0,0
NeofytosSAKELLARIDIS Magkoyras,-2,0,-1,0,0,0,0,0,-1,0,0,0,0,0,-1
JieWANG,-5,-2,0,-1,0,0,0,0,0,-1,0,0,0,0,0
NormanHANSEN Lasse,1,0,0,0,-1,0,0,0,-3,-2,-1,0,0,0,0
DavidO'LOUGHLIN,-1,-1,0,1,1,0,1,0,0,0,0,0,-1,-1,1
IngmarDE POORTERE,3,1,1,2,0,0,0,1,-1,-1,0,0,-1,0,-1
JulienMORICE,-7,-3,1,0,0,0,-1,0,0,1,-1,-1,-1,0,0
PatrickGRETSCH,-1,-3,-3,-2,1,0,1,0,2,0,0,0,0,2,0
ArnoVAN DER ZWET,-5,-4,2,-2,0,0,-1,-1,0,0,0,0,0,0,1
AlexanderSEROV,4,5,2,2,0,1,0,0,1,0,0,0,0,0,0
MarcoCOLEDAN,0,1,-1,1,-1,0,0,-1,2,0,0,0,1,0,1
ArturERSHOV,1,3,7,0,0,1,0,0,0,0,0,0,-1,-1,-1
LeviHEIMANS,-2,0,0,1,0,0,1,2,1,1,0,0,0,0,-1
EstebanARANGO CARVAJAL Juan,-5,-1,1,0,-1,0,0,1,0,0,0,0,2,0,0
GediminasBAGDONAS,0,-2,-1,-2,-2,-1,-1,-2,-4,-2,-1,0,-1,0,0
RohanDENNIS,0,-1,-1,0,0,-1,1,1,0,1,0,0,0,0,0
VitaliyPOPKOV,1,3,2,-1,1,0,0,0,0,0,0,0,0,0,0
JackBOBRIDGE,7,2,0,0,1,0,0,0,0,0,0,0,0,-2,0
VitaliySHCHEDOV,3,2,-2,1,1,1,-1,0,1,1,0,0,0,0,0
TaylorPHINNEY,2,-1,-1,0,0,0,0,0,1,0,1,0,0,1,-1
JesseSERGENT,3,3,1,0,0,0,0,0,1,0,-1,0,0,1,1
