MyronSIMPSON,0,0,3
PhilipNIELSEN,0,0,0
ReneENDERS,-2,-5,-4
FrancescoCECI,0,-1,-1
NikolayZHURKIN,0,1,3
EthanMITCHELL,3,0,-2
DavidALONSO CASTILLO,1,1,2
AdrianTEKLINSKI,-1,1,0
QuentinLAFARGUE,1,2,1
TeunMULDER,1,0,0
MiaoZHANG,3,1,-1
ClemensSELZER,-7,-3,-4
EdwardDAWKINS,6,2,2
FrancoisPERVIS,-1,1,0
JoachimEILERS,-4,-1,3
KamilKUCZYNSKI,-4,-2,1
YudaiNITTA,-4,-1,-4
YevgenBOLIBRUKH,-1,1,0
DavidDANIELL,0,1,-3
ScottSUNDERLAND,1,-2,1
ChongyangWANG,2,2,1
MichaelD'ALMEIDA,2,0,0
StefanNIMKE,4,2,2
