MiaoZHANG,5,3,0
AllanLEPARSKAS,-1,0,0
HodeiMAZQUIARAN URIA,-3,0,-1
NikiBYRGESEN,0,0,0
TingKWOK Ho,0,1,1
LokCHEUNG King,0,0,-1
HungWU Po,1,1,0
KonstantinKUPERASOV,-1,-1,-2
AdriaSABATE MASIP,-1,-1,1
OscarEZKER MARTIN,1,-2,0
MichaelTHOMSON,1,2,2
MartynIRVINE,1,-4,-1
HafizSUFIAN,0,-3,-12
ThierryJOLLET,-3,-1,0
TimVELDT,-1,0,0
SergeyPOLYNSKIY,5,-2,2
DavidASKURAVA,2,1,1
AntonLAPSHINAU,1,5,0
LucaCECI,0,-1,0
FilipDITZEL,1,3,0
KamilKUCZYNSKI,0,-2,-6
JoachimEILERS,1,4,6
GiddeonMASSIE,0,-3,-1
EdwardDAWKINS,-3,0,-2
QuentinLAFARGUE,-1,3,-1
ClemensSELZER,-3,-2,5
YevgenBOLIBRUKH,-1,1,9
YudaiNITTA,-1,-2,0
