GloriaRODRIGUEZ SANCHEZ,-6,0,1,0,1,2,0,1,1,2,0
IsabellaKING,2,-2,0,0,0,0,2,0,1,-1,2
OlatzFERRAN ZUBILLAGA,-8,-4,-1,0,-1,0,0,0,0,0,0
MartaBASTIANELLI,-1,1,0,0,-1,1,1,0,0,0,1
AnnaNAHIRNA,-2,0,0,0,0,0,-1,1,-1,0,0
SerikaGULUMA,4,3,0,0,0,1,0,0,-1,-1,0
GiuseppinaGRASSI HERRERA,0,1,-1,1,0,-1,-1,0,0,0,0
IrinaMOLICHEVA,2,-2,0,0,-3,-1,-1,-2,0,0,-1
EdytaJASINSKA,4,1,0,0,0,0,0,0,0,0,-2
CarolineRYAN,1,0,1,0,1,0,0,0,0,0,-1
LisaBRENNAUER,0,2,1,0,0,-1,0,1,0,0,1
JessieDAAMS,-2,0,0,0,1,0,0,0,0,1,0
AudeBIANNIC,2,-1,0,0,2,0,0,1,1,0,0
MeganHOTTMAN,3,1,1,-1,0,-2,0,0,0,-1,0
VaidaPIKAUSKAITE,-1,-1,-2,0,0,0,-3,-1,0,0,0
PascaleSCHNIDER,-4,-1,0,0,1,0,2,2,0,0,1
AlisonSHANKS,-2,0,1,1,0,1,0,0,0,0,0
YudelmisDOMINGUEZ MASAGUE,2,1,0,-1,-1,0,0,-3,-1,0,0
WendyHOUVENAGHEL,2,0,0,0,0,-1,0,0,0,0,0
AksanaPAPKO,2,1,-1,0,0,1,1,0,0,0,-1
