QhairantAMRAN Muhd Arfy,20,20,20,20
KamilKUCZYNSKI,10,9,12,13
AndreyKUBEEV,16,13,9,8
ZapataFABIAN HERNANDO Puerta,14,11,10,12
YevhenBOLIBRUKH,12,12,13,14
RamiroPULGAR ARAUJO Angel,7,16,18,18
JoachimEILERS,4,5,5,5
RizalTISIN Mohd,15,15,11,11
FrancescoCECI,19,19,19,19
YudaiNITTA,9,10,15,16
SimonVAN VELTHOOVEN,13,14,14,17
NikolayZHURKIN,8,7,6,6
QuentinLAFARGUE,2,6,7,9
HugoHAAK,17,18,17,15
AdrianTEKLINSKI,11,8,8,7
TomasBABEK,18,17,16,10
EdwardDAWKINS,5,3,3,1
StefanNIMKE,3,2,2,3
FrancoisPERVIS,6,4,4,4
MichaelD'ALMEIDA,1,1,1,2
