VictorMANAKOV,13,9,8,6,4,2,2,2,3,4,4,4,5,5,5,5
RomanDRONIN,16,17,18,18,21,20,20,20,20,20,20,20,20,20,20,20
AntonioCASTRO LAVERDE Arles,8,10,9,9,9,8,9,9,10,10,11,13,13,12,12,12
NikiasARNDT,2,3,4,8,8,10,10,10,9,9,9,9,8,8,8,7
GiairoERMETI,21,21,21,21,19,19,19,19,19,19,19,19,18,18,17,16
DominiqueCORNU,7,5,5,3,5,6,7,7,7,6,6,6,6,6,6,6
CastilloFELIX ALEJANDRO Baron,19,19,17,17,17,17,17,17,17,17,17,17,19,19,19,19
AsierMAEZTU BILLELABEITIA,10,12,11,10,10,9,8,8,8,8,8,7,7,7,7,8
SamuelHARRISON,15,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
LeviHEIMANS,14,15,16,16,16,16,16,16,16,16,16,16,15,15,15,15
ClaudioIMHOF,17,18,19,19,20,21,21,21,21,21,21,21,21,21,21,21
BerikKUPESHOV,5,11,13,13,13,13,13,13,13,13,13,12,11,9,9,9
JulienMORICE,20,20,20,20,18,18,18,18,18,18,18,18,17,17,18,18
KilianMOSER,6,8,10,11,11,11,11,11,11,11,10,10,10,10,10,10
JenningHUIZENGA,12,7,7,7,7,7,6,6,5,5,5,5,4,4,4,3
MichaelHEPBURN,18,16,15,15,15,15,15,15,15,15,15,15,16,16,16,17
LokCHEUNG King,11,13,12,12,12,12,12,12,12,12,12,11,12,11,11,11
SergiESCOBAR ROURE,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
JackBOBRIDGE,4,4,3,2,2,3,4,5,6,7,7,8,9,13,13,13
VitaliySHCHEDOV,9,6,6,4,3,4,5,4,4,3,3,3,3,3,2,2
JesseSERGENT,1,2,2,5,6,5,3,3,2,2,2,2,2,2,3,4
