AliTORABI,1,1,0,0,0,0,-1,0,1,0,1,-1,0,0,-1
SunjaeJANG,0,-4,-1,0,1,2,0,0,0,1,0,0,0,-1,0
MicheleSCARTEZZINI,1,0,0,2,0,0,2,0,0,1,1,0,0,-1,0
YulongXU,1,1,1,1,1,0,1,0,2,1,0,0,-1,-1,-1
MaximKOZYREV,1,3,2,0,1,-1,-1,0,-1,0,0,0,0,-1,1
DanielRACKWITZ,0,-4,-5,-2,-3,0,-2,0,-1,0,0,0,0,0,2
ValeryVALYNIN,0,-1,0,-1,-3,-1,-1,-2,-1,-1,-3,0,-1,0,0
DavidO'LOUGHLIN,-1,0,0,1,0,-1,0,-3,-1,0,-1,-1,0,1,0
LokCHEUNG,-3,-2,0,0,2,1,0,1,0,0,-1,1,1,2,0
GlennOSHEA,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0
JenningHUIZENGA,-2,-2,1,1,0,2,1,1,0,0,0,1,0,1,0
VitaliySHCHEDOV,1,-2,0,1,1,-1,0,2,0,-1,0,-2,-1,-1,0
DominiqueSTARK,0,0,-1,-2,-1,0,-3,0,0,-1,0,0,1,0,0
CarlosLINAREZ,1,0,0,0,2,0,4,0,2,0,2,2,1,0,1
PawelBRYLOWSKI,-2,0,0,0,0,0,0,0,2,1,2,2,0,1,0
NikiasARNDT,1,0,-1,0,-2,0,0,0,0,1,0,0,0,1,0
DominiqueCORNU,0,5,1,0,0,0,0,0,0,-1,0,1,0,0,0
JulienMORICE,-1,-1,0,-1,1,0,0,0,0,-2,0,-1,0,0,-1
BerikKUPESHOV,-2,-1,0,-2,-1,0,0,0,0,0,0,0,0,-1,0
VladimirTUYCHIEV,-3,0,0,0,-1,0,0,0,-2,0,0,0,0,1,0
