HolyBrotherCyclingTeam,-6,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Australia,5,3,1,-2,0,1,0,0,0,0,1,0,0,0,0
China,2,-1,-2,-3,-2,-1,0,0,-1,-1,-1,0,0,1,1
HongKong,-3,-3,-2,-1,0,0,0,0,0,0,1,1,1,2,0
Italy,-2,4,0,-1,0,1,0,-1,0,1,0,1,1,-1,1
I.R.Iran,-9,1,0,0,0,0,0,0,0,0,0,-1,0,0,0
Ukraine,0,-3,2,2,0,-3,2,0,-2,1,0,0,0,0,0
Poland,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
TrackTeamAstana,-7,-7,0,0,0,-1,0,0,0,0,0,0,0,0,0
Germany,0,0,0,0,-2,-1,0,0,0,0,-1,-1,0,0,0
France,0,-3,-2,0,0,0,-2,0,1,-1,-1,1,-1,-1,-1
Belgium,1,0,3,0,0,2,2,0,2,0,0,1,0,0,0
Russia,5,5,3,0,0,0,0,-1,-1,0,0,0,0,0,0
Korea,-1,-5,-1,0,0,-1,1,0,0,0,1,-1,-3,-2,-2
Denmark,6,3,-1,0,1,0,0,0,0,0,-1,0,0,0,0
Switzerland,5,1,-2,1,0,0,-3,0,0,0,-1,-2,0,1,-1
Rusvelo,5,6,2,2,1,0,0,0,0,0,0,0,0,0,0
Netherlands,-2,-1,0,0,2,3,0,1,0,0,1,0,0,0,0
Lokosphinx,0,0,-1,2,0,-1,0,1,1,0,1,0,2,0,0
