Japan,4,9,11,13,12,12,12,12,11,11,11,10
Korea,5,5,7,8,7,8,8,8,8,9,8,8
China,12,11,9,9,6,6,6,6,5,2,2,2
Australia,3,3,3,3,3,3,2,2,3,3,4,5
HongKong,13,14,14,14,13,14,14,14,14,14,14,14
Ukraine,9,7,8,6,8,7,7,7,7,7,9,9
Netherlands,7,6,5,5,5,5,5,3,1,1,1,1
Russia,15,15,15,15,14,13,13,13,13,12,12,11
Belgium,11,10,12,12,11,11,11,9,9,8,7,7
Poland,6,4,6,7,9,9,9,11,12,13,13,13
Belarus,1,1,1,1,1,1,1,1,2,6,6,6
RUSVELO,2,2,2,2,2,2,3,5,6,5,5,4
Venezuela,16,16,16,16,16,15,15,15,15,15,15,15
Germany,8,8,4,4,4,4,4,4,4,4,3,3
Canada,10,13,13,11,10,10,10,10,10,10,10,12
