UnitedStates,-1,-3,0,0,0,0,0,0,0,0,0,0,0,0,0
Brazil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chile,0,-1,-3,0,0,0,0,0,0,0,0,0,0,0,1
HongKong,-7,-2,1,0,0,-1,0,-1,-1,1,-1,1,0,1,1
Switzerland,0,2,2,0,0,0,0,1,-1,1,0,1,-1,1,1
Ukraine,-2,0,1,0,0,1,0,0,2,-3,0,0,0,2,0
Germany,-4,-2,-1,0,0,1,0,0,2,0,0,0,1,1,0
France,0,-2,-4,-1,-1,1,0,0,-1,0,0,0,0,1,-3
Colombia,1,0,0,-1,0,0,0,1,-1,0,1,0,-1,0,0
Belgium,1,1,0,0,0,-1,0,0,0,1,1,1,1,1,1
Denmark,2,3,0,4,0,0,1,0,2,0,-1,0,-1,0,0
Netherlands,-1,2,0,-1,1,-1,0,0,-1,0,0,-3,0,0,0
Spain,3,0,1,2,0,0,-1,0,0,-1,1,0,0,0,0
Russia,4,2,0,0,-1,0,0,-1,-1,0,-2,-1,-1,-6,-1
NewZealand,1,-1,0,0,-2,0,0,1,0,1,1,0,2,0,0
LOKOSPHINX,1,1,0,-3,1,0,0,-1,0,0,0,1,0,-1,0
Australia,2,0,3,1,1,0,0,0,0,0,0,0,0,0,0
