Japan,-10,-3,-2,0,0,0,0,1,0,0,0
HongKong,1,0,1,0,0,0,0,-1,0,0,0
Poland,1,-2,-1,0,1,0,1,0,0,0,0
Korea,-1,0,1,1,0,1,0,0,0,1,-1
Russia,-1,4,0,-1,-2,0,0,0,0,0,0
Lithuania,-3,-1,-1,-1,0,-1,2,0,1,1,0
Ukraine,4,3,2,0,2,1,-2,0,-1,0,2
Belarus,3,0,0,0,0,0,-1,0,-2,-3,-1
Belgium,2,1,-1,-2,0,0,0,0,0,0,0
China,1,-1,1,0,1,0,0,0,0,1,0
Canada,0,1,0,0,0,0,1,0,0,-2,-4
UnitedStates,3,1,1,0,0,0,-2,0,-1,1,2
Netherlands,-3,0,-2,0,1,0,0,0,0,-1,1
Germany,4,-1,1,0,-1,-1,-1,0,0,-1,0
GreatBritain,3,-1,-1,0,0,0,0,0,1,1,0
Australia,2,0,3,-1,-2,1,-1,0,1,1,1
NewZealand,1,-1,-2,4,0,-1,3,0,1,1,0
