France,7,9,10,9,9,9,10,10,10,10,9,9,9,9,9,9
Kazakhstan,8,5,9,10,11,11,11,11,11,11,10,10,10,10,10,10
CzechRepublic,3,6,4,4,4,6,8,5,5,8,8,8,8,8,8,8
Belarus,12,12,12,12,12,12,12,12,12,12,11,11,11,11,11,11
Denmark,6,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1
Spain,11,11,11,11,10,10,9,9,9,7,5,4,4,4,4,3
Ukraine,9,10,8,8,8,8,6,8,8,9,6,6,6,6,6,6
Germany,1,2,3,2,3,3,3,3,3,3,2,2,2,2,2,2
Belgium,10,8,7,5,5,4,4,4,4,4,3,3,3,3,3,4
Switzerland,5,7,6,7,6,7,7,7,6,5,4,5,5,5,5,5
Lokosphinx,4,4,5,6,7,5,5,6,7,6,7,7,7,7,7,7
