Japan,14,14,14,14,14,14,14,14,14,14,14,14
Poland,7,11,13,13,13,13,13,12,12,13,13,13
UnitedStates,4,5,3,4,4,4,5,5,4,5,5,5
RUSVELO,11,12,9,11,12,12,12,13,13,12,12,12
Canada,6,4,4,3,3,3,3,3,3,3,3,1
Lithuania,1,2,5,6,7,7,7,7,7,7,7,7
Belgium,8,8,8,8,8,9,10,10,11,11,11,11
Australia,3,3,2,2,2,1,1,2,2,1,2,3
China,9,9,12,12,11,11,9,9,8,9,9,10
Germany,12,13,11,9,10,10,11,11,10,10,8,8
Netherlands,10,7,6,5,5,5,4,4,5,4,4,4
NewZealand,5,6,7,7,6,6,6,6,6,6,6,6
Ukraine,13,10,10,10,9,8,8,8,9,8,10,9
GreatBritain,2,1,1,1,1,2,2,1,1,2,1,2
Belarus,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
