Country,Bronze,Silver,Gold
Canada,4,10,7
Italy,2,2,1
Czech Republic,1,1,1
Lithuania,5,11,9
France,14,23,31
Ireland,1,4,2
Argentina,1,0,0
Venezuela,1,2,2
Australia,11,47,51
Columbia,4,6,4
Cuba,1,1,0
China,9,16,18
Belgium,2,7,2
Germany,9,25,29
Hong Kong,0,0,1
Spain,3,8,3
Ukraine,4,12,10
Netherlands,1,13,12
Denmark,3,7,8
Poland,1,4,2
Belarus,2,0,2
Switzerland,2,2,3
New Zealand,9,20,35
Great Britan,6,39,41
Russia,3,21,16
Mexico,0,1,0
U.S.A.,1,7,11
Malaysia,1,1,1
Greece,0,0,1
Japan,0,6,0
