JiriBARES,Lap-2-Place--3,Lap-3-Place--4,Lap-4-Place--5,Lap-5-Place--4,Lap-6-Place--1,Lap-7-Place-0,Lap-8-Place-0,Lap-9-Place--1,Lap-10-Place-0,Lap-11-Place-0,Lap-12-Place-0,Lap-13-Place-0,Lap-14-Place-0,Lap-15-Place-0,Lap-16-Place-+1
PatrickGRETSCH,Lap-2-Place--4,Lap-3-Place-+2,Lap-4-Place-0,Lap-5-Place--2,Lap-6-Place--1,Lap-7-Place-0,Lap-8-Place-0,Lap-9-Place-0,Lap-10-Place-+1,Lap-11-Place-0,Lap-12-Place-+1,Lap-13-Place-0,Lap-14-Place-0,Lap-15-Place-+2,Lap-16-Place-0
AlessandroDE MARCHI,Lap-2-Place-+1,Lap-3-Place-0,Lap-4-Place-0,Lap-5-Place-0,Lap-6-Place-0,Lap-7-Place-0,Lap-8-Place-0,Lap-9-Place-+1,Lap-10-Place-0,Lap-11-Place-0,Lap-12-Place-0,Lap-13-Place-0,Lap-14-Place-0,Lap-15-Place-0,Lap-16-Place-+1
ArnaudDEPREEUW,Lap-2-Place-0,Lap-3-Place--2,Lap-4-Place--3,Lap-5-Place--1,Lap-6-Place--1,Lap-7-Place-0,Lap-8-Place-0,Lap-9-Place-0,Lap-10-Place-0,Lap-11-Place--1,Lap-12-Place-0,Lap-13-Place-0,Lap-14-Place-+1,Lap-15-Place-0,Lap-16-Place-+1
AlexeyLYALKO,Lap-2-Place--1,Lap-3-Place-0,Lap-4-Place-0,Lap-5-Place-0,Lap-6-Place-0,Lap-7-Place-0,Lap-8-Place-0,Lap-9-Place-0,Lap-10-Place-0,Lap-11-Place-0,Lap-12-Place-0,Lap-13-Place-0,Lap-14-Place-0,Lap-15-Place-0,Lap-16-Place-+1
AntonioTAULER LLULL,Lap-2-Place-+1,Lap-3-Place-+2,Lap-4-Place-+4,Lap-5-Place-+2,Lap-6-Place-0,Lap-7-Place-0,Lap-8-Place-0,Lap-9-Place-0,Lap-10-Place-0,Lap-11-Place-0,Lap-12-Place--1,Lap-13-Place-0,Lap-14-Place-0,Lap-15-Place--1,Lap-16-Place--1
LeviHEIMANS,Lap-2-Place--2,Lap-3-Place--2,Lap-4-Place-+1,Lap-5-Place-+3,Lap-6-Place-0,Lap-7-Place-0,Lap-8-Place-0,Lap-9-Place-+2,Lap-10-Place--1,Lap-11-Place-0,Lap-12-Place--1,Lap-13-Place-0,Lap-14-Place-0,Lap-15-Place-0,Lap-16-Place-0
RobertBARTKO,Lap-2-Place--2,Lap-3-Place--7,Lap-4-Place--2,Lap-5-Place--1,Lap-6-Place-+1,Lap-7-Place-0,Lap-8-Place-+2,Lap-9-Place-0,Lap-10-Place-0,Lap-11-Place-+1,Lap-12-Place-+2,Lap-13-Place-+1,Lap-14-Place-0,Lap-15-Place-0,Lap-16-Place-+2
DominiqueCORNU,Lap-2-Place-+4,Lap-3-Place-+3,Lap-4-Place-0,Lap-5-Place-+1,Lap-6-Place-0,Lap-7-Place-0,Lap-8-Place-0,Lap-9-Place-0,Lap-10-Place-0,Lap-11-Place-+1,Lap-12-Place-0,Lap-13-Place-0,Lap-14-Place-+1,Lap-15-Place-0,Lap-16-Place-+1
VolodymyrDIUDIA,Lap-2-Place-+1,Lap-3-Place-0,Lap-4-Place-0,Lap-5-Place-0,Lap-6-Place-0,Lap-7-Place-0,Lap-8-Place-0,Lap-9-Place-0,Lap-10-Place-0,Lap-11-Place--1,Lap-12-Place--1,Lap-13-Place-0,Lap-14-Place-0,Lap-15-Place-0,Lap-16-Place--1
IngmarDE POORTERE,Lap-2-Place-0,Lap-3-Place-0,Lap-4-Place-0,Lap-5-Place-+2,Lap-6-Place-+2,Lap-7-Place-0,Lap-8-Place-0,Lap-9-Place-+1,Lap-10-Place-0,Lap-11-Place-0,Lap-12-Place--1,Lap-13-Place-0,Lap-14-Place-0,Lap-15-Place-0,Lap-16-Place-0
