@relation MenKiloPlaces
@attribute name string
@attribute Lap1 numeric
@attribute Lap2 numeric
@attribute Lap3 numeric
@attribute Lap4 numeric
@data
NikolayZHURKIN,26,24,25,24
YuriyTSYUPYK,24,27,27,27
ClemensSELZER,11,16,22,20
AzikiweKELLAR,28,28,28,28
YudaiNITTA,7,15,21,18
JuanPERALTA GASCON,23,26,26,26
AdrianTEKLINSKI,14,18,18,19
FilipDITZEL,22,21,20,22
YondiSCHMIDT,5,8,12,17
GadiCHAID,27,25,24,25
TomasBABEK,21,20,19,21
MichaelSEIDENBECHER,10,12,16,16
MiaoZHANG,9,11,17,15
DavidALONSO CASTILLO,20,23,23,23
StefanNIMKE,12,6,1,1
TaylorPHINNEY,25,22,10,2
QuentinLAFARGUE,17,17,14,9
DavidDANIELL,2,1,2,7
KamilKUCZYNSKI,6,4,5,8
EdwardDAWKINS,19,14,13,10
TimVELDT,18,19,15,12
ScottSUNDERLAND,3,5,7,5
HaoLI Wen,15,10,11,14
YevhenBOLIBRUKH,16,13,9,11
RizalTISIN Mohd,13,9,6,3
FrancoisPERVIS,7,7,8,13
MichaelD'ALMEIDA,4,3,3,4
TeunMULDER,1,2,4,6
PaulHEALION,16,16,17,17
AlirezaAHAMADI ASHJERDI,14,13,12,16
ClemensSELZER,11,12,14,14
JunyueWANG,15,15,15,15
VolodymyrDIUDIA,17,17,16,11
AdrianTEKLINSKI,13,14,13,12
MiaoZHANG,6,7,7,5
TakashiSAKAMOTO,10,10,10,10
YondiSCHMIDT,7,8,8,8
FilipDITZEL,12,11,9,9
MathiasSTUMPF,1,2,6,7
ValentinSAVITSKIY,9,9,11,13
RizalTISIN Mohd,8,6,2,1
RomanKONONENKO,18,18,18,18
ThierryJOLLET,3,3,4,6
FrancoisPERVIS,2,1,1,2
HaoLI Wen,5,5,5,4
KamilKUCZYNSKI,4,4,3,3
MichaelTHOMSON,15,15,13,13
DeivyCAPELLAN ALMONTE,14,16,19,19
MartynIRVINE,19,19,18,15
NikolayZHURKIN,10,10,11,7
HernandoPUERTA ZAPATA Fabian,16,11,8,8
LucaCECI,13,12,12,10
CristopherMANSILLA,11,14,14,14
StephaneCOSSETTE,8,6,7,11
CarlosCARRASCO,18,18,16,16
MathiasSTUMPF,3,3,5,9
SergioALIAGA CHIVITE,17,17,17,18
FrancoisPERVIS,1,2,2,2
VasileiosREPPAS,6,7,9,12
YorickBOS,9,13,15,17
MichaelD'ALMEIDA,2,1,1,1
DavidALONSO CASTILLO,4,5,4,5
YevhenBOLIBRUKH,5,4,3,3
YudaiNITTA,7,9,10,6
TomasBABEK,12,8,6,4
PaulHEALION,23,23,23,20
AdrianTEKLINSKI,10,11,10,10
RistoAALTIO,20,19,18,18
IbanLEANIZBARRUTIA CRUZ,22,21,24,24
OriolMARTINEZ,11,18,21,25
CarlosVERA LOPEZ,21,25,27,27
ClemensSELZER,9,9,11,11
YevhenBOLIBRUKH,3,3,3,5
YushoOIKAWA,13,16,16,16
AzikiweKELLAR,19,20,19,22
EugenWACKER,27,27,26,26
TaylorPHINNEY,16,10,8,1
JuanPERALTA GASCON,17,17,17,17
IharHOVAR,26,26,25,23
QuentinLAFARGUE,4,7,4,3
JavierAZKUE PRIETO,25,24,22,21
ChristianRANNERIES,24,22,20,19
SaschaHUBNER,2,2,9,9
TimVELDT,5,8,7,6
FilipDITZEL,14,13,14,13
ValentinSAVITSKIY,12,12,12,14
GaddyCHAID,18,15,15,15
DavidALONSO CASTILLO,15,14,13,12
FrancoisPERVIS,1,1,2,7
DavidDANIELL,8,4,5,8
MichaelD'ALMEIDA,7,5,1,2
KamilKUCZYNSKI,6,6,6,4
JavierAZKUE PRIETO,22,22,22,21
SergioALIAGA CHIVITE,13,16,18,20
AzikiweKELLAR,18,18,21,22
AdriaSABATE MASIP,5,3,7,11
AntonLAPSHINAU,11,9,4,3
