NikolayZHURKIN,Lap-2-Place-+2,Lap-3-Place--1,Lap-4-Place-+1
YuriyTSYUPYK,Lap-2-Place--3,Lap-3-Place-0,Lap-4-Place-0
ClemensSELZER,Lap-2-Place--5,Lap-3-Place--6,Lap-4-Place-+2
AzikiweKELLAR,Lap-2-Place-0,Lap-3-Place-0,Lap-4-Place-0
YudaiNITTA,Lap-2-Place--8,Lap-3-Place--6,Lap-4-Place-+3
JuanPERALTA GASCON,Lap-2-Place--3,Lap-3-Place-0,Lap-4-Place-0
AdrianTEKLINSKI,Lap-2-Place--4,Lap-3-Place-0,Lap-4-Place--1
FilipDITZEL,Lap-2-Place-+1,Lap-3-Place-+1,Lap-4-Place--2
YondiSCHMIDT,Lap-2-Place--3,Lap-3-Place--4,Lap-4-Place--5
GadiCHAID,Lap-2-Place-+2,Lap-3-Place-+1,Lap-4-Place--1
TomasBABEK,Lap-2-Place-+1,Lap-3-Place-+1,Lap-4-Place--2
MichaelSEIDENBECHER,Lap-2-Place--2,Lap-3-Place--4,Lap-4-Place-0
MiaoZHANG,Lap-2-Place--2,Lap-3-Place--6,Lap-4-Place-+2
DavidALONSO CASTILLO,Lap-2-Place--3,Lap-3-Place-0,Lap-4-Place-0
StefanNIMKE,Lap-2-Place-+6,Lap-3-Place-+5,Lap-4-Place-0
TaylorPHINNEY,Lap-2-Place-+3,Lap-3-Place-+12,Lap-4-Place-+8
QuentinLAFARGUE,Lap-2-Place-0,Lap-3-Place-+3,Lap-4-Place-+5
DavidDANIELL,Lap-2-Place-+1,Lap-3-Place--1,Lap-4-Place--5
KamilKUCZYNSKI,Lap-2-Place-+2,Lap-3-Place--1,Lap-4-Place--3
EdwardDAWKINS,Lap-2-Place-+5,Lap-3-Place-+1,Lap-4-Place-+3
TimVELDT,Lap-2-Place--1,Lap-3-Place-+4,Lap-4-Place-+3
ScottSUNDERLAND,Lap-2-Place--2,Lap-3-Place--2,Lap-4-Place-+2
HaoLI Wen,Lap-2-Place-+5,Lap-3-Place--1,Lap-4-Place--3
YevhenBOLIBRUKH,Lap-2-Place-+3,Lap-3-Place-+4,Lap-4-Place--2
RizalTISIN Mohd,Lap-2-Place-+4,Lap-3-Place-+3,Lap-4-Place-+3
FrancoisPERVIS,Lap-2-Place-0,Lap-3-Place--1,Lap-4-Place--5
MichaelD'ALMEIDA,Lap-2-Place-+1,Lap-3-Place-0,Lap-4-Place--1
TeunMULDER,Lap-2-Place--1,Lap-3-Place--2,Lap-4-Place--2
PaulHEALION,Lap-2-Place-0,Lap-3-Place--1,Lap-4-Place-0
AlirezaAHAMADI ASHJERDI,Lap-2-Place-+1,Lap-3-Place-+1,Lap-4-Place--4
ClemensSELZER,Lap-2-Place--1,Lap-3-Place--2,Lap-4-Place-0
JunyueWANG,Lap-2-Place-0,Lap-3-Place-0,Lap-4-Place-0
VolodymyrDIUDIA,Lap-2-Place-0,Lap-3-Place-+1,Lap-4-Place-+5
AdrianTEKLINSKI,Lap-2-Place--1,Lap-3-Place-+1,Lap-4-Place-+1
MiaoZHANG,Lap-2-Place--1,Lap-3-Place-0,Lap-4-Place-+2
TakashiSAKAMOTO,Lap-2-Place-0,Lap-3-Place-0,Lap-4-Place-0
YondiSCHMIDT,Lap-2-Place--1,Lap-3-Place-0,Lap-4-Place-0
FilipDITZEL,Lap-2-Place-+1,Lap-3-Place-+2,Lap-4-Place-0
MathiasSTUMPF,Lap-2-Place--1,Lap-3-Place--4,Lap-4-Place--1
