GREECE,Lap-2-Place--3,Lap-3-Place--1,Lap-4-Place-0,Lap-5-Place-0,Lap-6-Place-0,Lap-7-Place-0,Lap-8-Place-0,Lap-9-Place-0,Lap-10-Place-0,Lap-11-Place-0,Lap-12-Place-0,Lap-13-Place-0,Lap-14-Place-0,Lap-15-Place-0,Lap-16-Place-0
ITALY,Lap-2-Place-+4,Lap-3-Place--1,Lap-4-Place--1,Lap-5-Place-0,Lap-6-Place-0,Lap-7-Place-0,Lap-8-Place-0,Lap-9-Place-0,Lap-10-Place-0,Lap-11-Place-0,Lap-12-Place-0,Lap-13-Place-0,Lap-14-Place-0,Lap-15-Place-0,Lap-16-Place-0
CHILE,Lap-2-Place--5,Lap-3-Place-0,Lap-4-Place--1,Lap-5-Place-0,Lap-6-Place--1,Lap-7-Place-0,Lap-8-Place-0,Lap-9-Place-0,Lap-10-Place-0,Lap-11-Place--1,Lap-12-Place--1,Lap-13-Place-0,Lap-14-Place-0,Lap-15-Place-0,Lap-16-Place-0
GERMANY,Lap-2-Place--2,Lap-3-Place--2,Lap-4-Place--1,Lap-5-Place-0,Lap-6-Place-0,Lap-7-Place-0,Lap-8-Place-0,Lap-9-Place-0,Lap-10-Place-0,Lap-11-Place--1,Lap-12-Place-+1,Lap-13-Place-+1,Lap-14-Place-+1,Lap-15-Place--2,Lap-16-Place-0
SWITZERLAND,Lap-2-Place--2,Lap-3-Place-+1,Lap-4-Place-+1,Lap-5-Place-0,Lap-6-Place-0,Lap-7-Place-0,Lap-8-Place-0,Lap-9-Place-0,Lap-10-Place-0,Lap-11-Place-0,Lap-12-Place-+1,Lap-13-Place-+1,Lap-14-Place--1,Lap-15-Place-0,Lap-16-Place-0
HONGKONG,Lap-2-Place--1,Lap-3-Place-0,Lap-4-Place-0,Lap-5-Place-0,Lap-6-Place-0,Lap-7-Place-0,Lap-8-Place-0,Lap-9-Place-0,Lap-10-Place-0,Lap-11-Place-0,Lap-12-Place-0,Lap-13-Place-0,Lap-14-Place-0,Lap-15-Place-0,Lap-16-Place-0
COLOMBIA,Lap-2-Place--1,Lap-3-Place-+1,Lap-4-Place-0,Lap-5-Place-+1,Lap-6-Place-+1,Lap-7-Place-0,Lap-8-Place-0,Lap-9-Place-+1,Lap-10-Place-+1,Lap-11-Place-+2,Lap-12-Place--1,Lap-13-Place--2,Lap-14-Place-0,Lap-15-Place-0,Lap-16-Place-0
BELGIUM,Lap-2-Place--2,Lap-3-Place-0,Lap-4-Place-+2,Lap-5-Place--1,Lap-6-Place-0,Lap-7-Place-0,Lap-8-Place-+2,Lap-9-Place-0,Lap-10-Place-0,Lap-11-Place--1,Lap-12-Place--1,Lap-13-Place-+2,Lap-14-Place-0,Lap-15-Place-0,Lap-16-Place-0
FRANCE,Lap-2-Place--1,Lap-3-Place--1,Lap-4-Place--2,Lap-5-Place--3,Lap-6-Place-0,Lap-7-Place-0,Lap-8-Place-0,Lap-9-Place-0,Lap-10-Place-0,Lap-11-Place-+1,Lap-12-Place-0,Lap-13-Place--1,Lap-14-Place-+1,Lap-15-Place-0,Lap-16-Place-0
SPAIN,Lap-2-Place-+3,Lap-3-Place-0,Lap-4-Place-0,Lap-5-Place-+4,Lap-6-Place-+2,Lap-7-Place-0,Lap-8-Place-0,Lap-9-Place-0,Lap-10-Place-0,Lap-11-Place-0,Lap-12-Place-0,Lap-13-Place--1,Lap-14-Place-+1,Lap-15-Place-+1,Lap-16-Place-0
RUSSIA,Lap-2-Place-+4,Lap-3-Place-+3,Lap-4-Place-+2,Lap-5-Place-0,Lap-6-Place-0,Lap-7-Place-0,Lap-8-Place-0,Lap-9-Place-0,Lap-10-Place-0,Lap-11-Place-0,Lap-12-Place-0,Lap-13-Place-0,Lap-14-Place--1,Lap-15-Place-0,Lap-16-Place-0
NETHERLANDS,Lap-2-Place-0,Lap-3-Place--3,Lap-4-Place--1,Lap-5-Place--1,Lap-6-Place--2,Lap-7-Place--1,Lap-8-Place--1,Lap-9-Place-+1,Lap-10-Place--1,Lap-11-Place-0,Lap-12-Place-+1,Lap-13-Place-0,Lap-14-Place-0,Lap-15-Place-+3,Lap-16-Place-0
UKRAINE,Lap-2-Place-0,Lap-3-Place--1,Lap-4-Place-+1,Lap-5-Place--1,Lap-6-Place-0,Lap-7-Place-+1,Lap-8-Place--1,Lap-9-Place--2,Lap-10-Place-0,Lap-11-Place-0,Lap-12-Place-0,Lap-13-Place-0,Lap-14-Place-0,Lap-15-Place-0,Lap-16-Place-0
DENMARK,Lap-2-Place-+3,Lap-3-Place-+1,Lap-4-Place-+1,Lap-5-Place-+1,Lap-6-Place-0,Lap-7-Place-+1,Lap-8-Place--1,Lap-9-Place-0,Lap-10-Place-0,Lap-11-Place-0,Lap-12-Place-0,Lap-13-Place-0,Lap-14-Place--2,Lap-15-Place--2,Lap-16-Place-0
NEWZEALAND,Lap-2-Place-+2,Lap-3-Place-0,Lap-4-Place-+1,Lap-5-Place-0,Lap-6-Place-0,Lap-7-Place--1,Lap-8-Place-+1,Lap-9-Place-0,Lap-10-Place-0,Lap-11-Place-0,Lap-12-Place-0,Lap-13-Place-0,Lap-14-Place-0,Lap-15-Place-0,Lap-16-Place-0
GREATBRITAIN,Lap-2-Place-+1,Lap-3-Place-+1,Lap-4-Place--2,Lap-5-Place-0,Lap-6-Place-0,Lap-7-Place-0,Lap-8-Place-0,Lap-9-Place-0,Lap-10-Place-0,Lap-11-Place-0,Lap-12-Place-0,Lap-13-Place-0,Lap-14-Place-0,Lap-15-Place-0,Lap-16-Place-0
AUSTRALIA,Lap-2-Place-+1,Lap-3-Place-+1,Lap-4-Place-0,Lap-5-Place-0,Lap-6-Place-0,Lap-7-Place-0,Lap-8-Place-0,Lap-9-Place-0,Lap-10-Place-0,Lap-11-Place-0,Lap-12-Place-0,Lap-13-Place-0,Lap-14-Place-+1,Lap-15-Place-0,Lap-16-Place-0
HolyBrotherCyclingTeam,Lap-2-Place--6,Lap-3-Place-0,Lap-4-Place-0,Lap-5-Place-0,Lap-6-Place-0,Lap-7-Place-0,Lap-8-Place-0,Lap-9-Place-0,Lap-10-Place-0,Lap-11-Place-0,Lap-12-Place-0,Lap-13-Place-0,Lap-14-Place-0,Lap-15-Place-0,Lap-16-Place-+1
Australia,Lap-2-Place-+5,Lap-3-Place-+3,Lap-4-Place-+1,Lap-5-Place--2,Lap-6-Place-0,Lap-7-Place-+1,Lap-8-Place-0,Lap-9-Place-0,Lap-10-Place-0,Lap-11-Place-0,Lap-12-Place-+1,Lap-13-Place-0,Lap-14-Place-0,Lap-15-Place-0,Lap-16-Place-0
China,Lap-2-Place-+2,Lap-3-Place--1,Lap-4-Place--2,Lap-5-Place--3,Lap-6-Place--2,Lap-7-Place--1,Lap-8-Place-0,Lap-9-Place-0,Lap-10-Place--1,Lap-11-Place--1,Lap-12-Place--1,Lap-13-Place-0,Lap-14-Place-0,Lap-15-Place-+1,Lap-16-Place-+1
HongKong,Lap-2-Place--3,Lap-3-Place--3,Lap-4-Place--2,Lap-5-Place--1,Lap-6-Place-0,Lap-7-Place-0,Lap-8-Place-0,Lap-9-Place-0,Lap-10-Place-0,Lap-11-Place-0,Lap-12-Place-+1,Lap-13-Place-+1,Lap-14-Place-+1,Lap-15-Place-+2,Lap-16-Place-0
Italy,Lap-2-Place--2,Lap-3-Place-+4,Lap-4-Place-0,Lap-5-Place--1,Lap-6-Place-0,Lap-7-Place-+1,Lap-8-Place-0,Lap-9-Place--1,Lap-10-Place-0,Lap-11-Place-+1,Lap-12-Place-0,Lap-13-Place-+1,Lap-14-Place-+1,Lap-15-Place--1,Lap-16-Place-+1
I.R.Iran,Lap-2-Place--9,Lap-3-Place-+1,Lap-4-Place-0,Lap-5-Place-0,Lap-6-Place-0,Lap-7-Place-0,Lap-8-Place-0,Lap-9-Place-0,Lap-10-Place-0,Lap-11-Place-0,Lap-12-Place-0,Lap-13-Place--1,Lap-14-Place-0,Lap-15-Place-0,Lap-16-Place-0
Ukraine,Lap-2-Place-0,Lap-3-Place--3,Lap-4-Place-+2,Lap-5-Place-+2,Lap-6-Place-0,Lap-7-Place--3,Lap-8-Place-+2,Lap-9-Place-0,Lap-10-Place--2,Lap-11-Place-+1,Lap-12-Place-0,Lap-13-Place-0,Lap-14-Place-0,Lap-15-Place-0,Lap-16-Place-0
