@relation MenTSPlaces
@attribute name string
@attribute Lap1 numeric
@attribute Lap2 numeric
@attribute Lap3 numeric
@data
Greece,14,13,13
Trinidad&Tobago,13,14,15
Colombia,15,15,14
CzechRepublic,7,9,6
Malaysia,8,10,12
Spain,10,11,10
Russia,12,8,9
China,11,12,11
Ukraine,6,5,5
Poland,2,3,4
Australia,3,4,3
Germany,4,2,2
GreatBritain,9,7,7
Netherlands,1,1,1
France,5,6,8
I.R.Iran,14,13,12
HONGKONGPROCYCLING,10,11,9
CzechRepublic,13,12,11
Netherlands,11,6,7
Malaysia,8,8,5
France,1,4,2
Poland,3,5,6
China,6,3,4
COFIDIS,4,2,1
Russia,5,9,10
Germany,2,1,3
Japan,9,7,8
Ukraine,8,8,4
Greece,9,9,8
Spain,3,4,6
Mexico,10,10,10
Colombia,4,5,5
Canada,6,3,3
Japan,5,6,9
COFIDIS,2,2,2
Germany,1,1,1
Russia,7,7,7
Trinidad&Tobago,13,13,12
CzechRepublic,9,7,8
Russia,12,12,11
Colombia,5,9,13
CATALUNYA,11,10,9
Ukraine,6,11,10
Spain,8,6,6
Germany,2,2,2
Poland,3,3,4
COFIDIS,4,4,3
GreatBritain,10,8,7
USCRETEIL,1,1,1
France,7,5,5
ALKSSTALGRUDZIADUZ,14,11,8
CATALUNYA,13,14,17
Greece,15,13,13
MOSCOWTRACKTEAM,5,4,4
TEAMJAYCO,7,5,5
CzechRepublic,9,9,10
USCRETEIL,12,6,7
China,17,16,14
Ukraine,16,12,11
Russia,6,17,15
Netherlands,8,7,6
Japan,10,10,12
Poland,11,15,16
Malaysia,2,1,2
GreatBritain,3,8,9
COFIDIS,1,3,3
Germany,4,2,1
"Nov21,",9,10,11
Korea,11,11,10
GRACEINSTITUTE,8,8,9
Malaysia,5,6,5
NewZealand,10,9,8
Netherlands,4,4,6
COFIDIS,7,5,4
Australia,3,3,3
Russia,2,2,1
TEAMJAYCO,1,1,2
"Nov21,",6,7,7
Spain,13,13,15
Italy,16,16,16
CzechRepublic,15,14,12
Ukraine,14,15,14
Greece,12,12,13
Japan,10,11,10
China,6,5,4
Canada,11,10,11
Netherlands,7,7,8
Poland,8,9,9
Russia,4,4,6
NewZealand,9,8,5
GreatBritain,3,3,3
Australia,5,6,7
France,2,1,1
Germany,1,2,2
Netherlands,15,13,16
China,2,1,1
Italy,19,19,19
Malaysia,16,15,14
CzechRepublic,18,18,15
MAXSUCCESSPROCYCLING,8,9,12
Spain,14,16,17
Japan,6,10,11
France,9,4,3
Ukraine,17,17,18
Germany,7,6,6
Australia,12,12,8
Russia,3,14,13
Canada,11,8,9
Poland,13,11,10
TEAMJAYCO,1,2,2
NewZealand,10,7,5
MOSCOWTRACKTEAM,5,5,4
COFIDIS,4,3,7
Mexico,16,15,15
Argentina,15,16,16
CYCLOCHANNELTOKYO,17,12,8
Spain,14,14,13
CzechRepublic,12,13,11
YSDTRACKTEAM,11,11,6
Japan,8,7,12
UnitedStates,7,8,14
Poland,4,4,4
Colombia,10,10,10
Russia,5,5,7
Canada,6,6,5
NewZealand,3,3,3
France,2,2,2
GreatBritain,1,1,1
Germany,9,9,9
Greece,17,16,17
China,9,11,9
Canada,12,13,13
Australia,11,10,8
MOSCOWTRACKTEAM,10,8,11
YSDTRACKTEAM,14,12,12
Japan,8,7,5
TEAMERDGAS.2012,4,6,7
NewZealand,5,5,2
Italy,19,19,19
TEAMJAYCOAIS,3,3,4
